candidate_id,entry_model,lookback_period,ema_fast_period,ema_slow_period,rsi_threshold,relative_weakness_period,atr_period,atr_entry_multiplier,max_bars_held,stop_loss_percent,take_profit_percent,symbols_passed,median_return_percent,mean_return_percent,worst_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
SHORTV2-008556,Breakdown,10,10,200,45,10,20,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008604,Breakdown,10,10,200,45,10,20,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008652,Breakdown,10,10,200,45,20,7,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008700,Breakdown,10,10,200,45,20,7,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008748,Breakdown,10,10,200,45,20,7,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008796,Breakdown,10,10,200,45,20,10,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008844,Breakdown,10,10,200,45,20,10,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008892,Breakdown,10,10,200,45,20,10,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008940,Breakdown,10,10,200,45,20,14,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-008988,Breakdown,10,10,200,45,20,14,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009036,Breakdown,10,10,200,45,20,14,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009084,Breakdown,10,10,200,45,20,20,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009132,Breakdown,10,10,200,45,20,20,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009180,Breakdown,10,10,200,45,20,20,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009228,Breakdown,10,10,200,50,10,7,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009276,Breakdown,10,10,200,50,10,7,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009324,Breakdown,10,10,200,50,10,7,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009372,Breakdown,10,10,200,50,10,10,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009420,Breakdown,10,10,200,50,10,10,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009468,Breakdown,10,10,200,50,10,10,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009516,Breakdown,10,10,200,50,10,14,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009564,Breakdown,10,10,200,50,10,14,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009612,Breakdown,10,10,200,50,10,14,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009660,Breakdown,10,10,200,50,10,20,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009708,Breakdown,10,10,200,50,10,20,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009756,Breakdown,10,10,200,50,10,20,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009804,Breakdown,10,10,200,50,20,7,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009852,Breakdown,10,10,200,50,20,7,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009900,Breakdown,10,10,200,50,20,7,1.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
