symbol,side,score,close,average_volume_20d,atr_14,atr_percent,rsi_14,distance_from_ema_200_percent,suggested_stop,suggested_target,maximum_position_percent,signal_reasons
AMZN,long,93.675,285.64,2160968.6,9.8387,3.4444,72.8225,20.8026,265.9626,315.1561,10.0,"['Price above EMA200', 'Bullish EMA alignment', 'Positive RSI momentum', '20-day breakout']"
SPY,long,67.3729,755.25,1459127.65,8.9765,1.1885,58.2986,7.6601,737.297,782.1795,10.0,"['Price above EMA200', 'Bullish EMA alignment', 'Positive RSI momentum']"
IWM,long,62.266,295.47,1140063.0,4.4501,1.5061,53.6997,10.0598,286.5698,308.8203,10.0,"['Price above EMA200', 'Bullish EMA alignment']"
NVDA,long,60.2095,206.9,4782004.55,7.6339,3.6896,53.2522,6.3041,191.6322,229.8016,10.0,['Price above EMA200']
QQQ,long,50.1536,696.715,558908.2,14.971,2.1488,48.764,7.18,666.773,741.628,10.0,['Price above EMA200']
TLT,long,21.6725,82.22,1177909.7,0.6013,0.7314,30.7898,-5.0065,81.0174,84.024,10.0,[]
TSLA,long,18.8203,323.565,1008553.7,16.4947,5.0978,37.527,-16.9964,290.5757,373.049,10.0,[]
