candidate_id,sensitivity,atr_period,max_bars_held,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_return_percent,median_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score
SHORT-0002,0.6,7,5,2.0,6.0,7,1,0.5919,0.28,1.9276,4.0,14.29,18.4102
SHORT-0406,1.2,20,5,2.0,4.0,7,1,0.1992,0.45,1.9901,2.0,14.29,18.4004
SHORT-0415,1.2,20,10,2.0,4.0,7,1,0.1992,0.45,1.9901,2.0,14.29,18.4004
SHORT-0424,1.2,20,20,2.0,4.0,7,1,0.1992,0.45,1.9901,2.0,14.29,18.4004
SHORT-0063,0.6,14,5,4.0,8.0,7,1,0.7548,0.4007,1.8683,6.0,14.29,18.385
SHORT-0099,0.6,20,10,4.0,8.0,7,1,0.6736,0.4602,1.9091,7.0,14.29,18.3786
SHORT-0108,0.6,20,20,4.0,8.0,7,1,0.6736,0.4602,1.9091,7.0,14.29,18.3786
SHORT-0356,1.2,10,5,3.0,6.0,7,1,0.2982,0.3454,1.9881,2.0,14.29,18.302
SHORT-0119,0.8,7,10,2.0,6.0,7,0,0.3988,0.45,2.3008,4.0,0.0,18.2951
SHORT-0128,0.8,7,20,2.0,6.0,7,0,0.3988,0.45,2.3008,4.0,0.0,18.2951
SHORT-0033,0.6,10,5,3.0,8.0,7,0,0.781,0.4005,2.2646,5.0,0.0,18.2556
SHORT-0365,1.2,10,10,3.0,6.0,7,1,0.2982,0.3454,1.9881,2.0,14.29,18.2382
SHORT-0374,1.2,10,20,3.0,6.0,7,1,0.2982,0.3454,1.9881,2.0,14.29,18.2382
SHORT-0110,0.8,7,5,2.0,6.0,7,0,0.3633,0.45,2.3008,4.0,0.0,18.1886
SHORT-0084,0.6,20,5,2.0,8.0,7,0,0.523,0.3274,2.271,7.0,0.0,18.1689
SHORT-0059,0.6,14,5,3.0,6.0,7,1,0.5803,0.4005,1.9599,6.0,14.29,18.0804
SHORT-0309,1.0,20,10,2.0,8.0,7,1,0.3972,0.3996,1.9861,3.0,14.29,18.0777
SHORT-0318,1.0,20,20,2.0,8.0,7,1,0.3972,0.3996,1.9861,3.0,14.29,18.0777
SHORT-0093,0.6,20,10,2.0,8.0,7,0,0.523,0.4301,2.271,7.0,0.0,18.0148
SHORT-0102,0.6,20,20,2.0,8.0,7,0,0.523,0.4301,2.271,7.0,0.0,18.0148
