strategy_key,strategy_name,role,symbol,source_report,score,return_percent,drawdown_percent,profit_factor,consistency_percent,trade_count,status,parameters_json
verified-gld|ARENA-0081|GLD,ARENA-0081,GLD,GLD,TradingView verified GLD finalist,53.0156,28.25,4.13,1.524,75.0,328,QUALIFIED_GLD,"{""atr_period"": 14, ""filter_set"": ""Original"", ""max_bars_held"": 30, ""position_percent"": 15.0, ""sensitivity"": 1.2, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0, ""validation_source"": ""TradingView""}"
"reports\multi_market_strategy_arena_v2.json|MM-0013|MULTI|{""atr_period"": 14, ""filter_set"": ""Original"", ""max_bars_held"": 10, ""risk_profile"": ""Balanced"", ""sensitivity"": 0.8, ""stop_loss_percent"": 3.0, ""take_profit_percent"": 8.0}",MM-0013,LONG,MULTI,reports\multi_market_strategy_arena_v2.json,36.5173,2.7514,1.7784,1.5328,88.89,42,QUALIFIED_LONG,"{""atr_period"": 14, ""filter_set"": ""Original"", ""max_bars_held"": 10, ""risk_profile"": ""Balanced"", ""sensitivity"": 0.8, ""stop_loss_percent"": 3.0, ""take_profit_percent"": 8.0}"
