date,open,high,low,close,volume
2020-07-27 04:00:00+00:00,170.0,170.24,168.99,169.09,52786.0
2020-07-28 04:00:00+00:00,169.525,170.325,169.525,170.275,108458.0
2020-07-29 04:00:00+00:00,170.22,170.385,168.995,169.955,46415.0
2020-07-30 04:00:00+00:00,170.955,171.26,170.8,171.13,98844.0
2020-07-31 04:00:00+00:00,170.235,171.45,170.0,171.095,50420.0
2020-08-03 04:00:00+00:00,169.225,169.975,169.04,169.96,80783.0
2020-08-04 04:00:00+00:00,170.83,171.58,170.74,171.575,130458.0
2020-08-05 04:00:00+00:00,170.06,170.55,169.7,170.155,67746.0
2020-08-06 04:00:00+00:00,171.4,172.25,170.625,171.01,87206.0
2020-08-07 04:00:00+00:00,171.32,171.41,169.705,169.86,86996.0
2020-08-10 04:00:00+00:00,170.2,170.2,169.075,169.075,79844.0
2020-08-11 04:00:00+00:00,167.17,167.485,165.88,167.1,259419.0
2020-08-12 04:00:00+00:00,165.685,166.025,165.0,165.52,168986.0
2020-08-13 04:00:00+00:00,165.27,165.56,163.185,163.785,166020.0
2020-08-14 04:00:00+00:00,163.82,164.14,163.16,163.17,46534.0
2020-08-17 04:00:00+00:00,163.99,164.44,163.44,163.59,53156.0
2020-08-18 04:00:00+00:00,164.32,164.87,164.09,164.735,77292.0
2020-08-19 04:00:00+00:00,165.39,165.59,163.41,163.74,126953.0
2020-08-20 04:00:00+00:00,165.46,165.615,164.95,165.195,154607.0
2020-08-21 04:00:00+00:00,165.755,166.305,165.05,166.21,120062.0
2020-08-24 04:00:00+00:00,166.34,166.93,165.87,165.895,70895.0
2020-08-25 04:00:00+00:00,164.395,165.08,163.835,164.665,152058.0
2020-08-26 04:00:00+00:00,164.1,164.32,163.29,164.03,107094.0
2020-08-27 04:00:00+00:00,164.76,164.76,161.17,161.235,247507.0
2020-08-28 04:00:00+00:00,161.795,162.02,160.67,161.145,93067.0
2020-08-31 04:00:00+00:00,161.62,163.2,161.59,162.12,122971.0
2020-09-01 04:00:00+00:00,161.78,164.04,161.24,163.86,94640.0
2020-09-02 04:00:00+00:00,163.53,165.545,163.5,165.445,231963.0
2020-09-03 04:00:00+00:00,165.75,167.165,165.45,165.91,182611.0
2020-09-04 04:00:00+00:00,164.43,164.645,162.52,162.8,157868.0
2020-09-08 04:00:00+00:00,164.44,165.26,163.74,163.77,207247.0
2020-09-09 04:00:00+00:00,163.94,164.22,162.805,163.32,129626.0
2020-09-10 04:00:00+00:00,162.54,164.315,161.99,164.14,102769.0
2020-09-11 04:00:00+00:00,164.28,164.56,164.1,164.45,76597.0
2020-09-14 04:00:00+00:00,164.925,164.965,164.24,164.51,54943.0
2020-09-15 04:00:00+00:00,164.155,164.435,163.8,164.08,101550.0
2020-09-16 04:00:00+00:00,164.79,164.79,163.07,163.6,171759.0
2020-09-17 04:00:00+00:00,164.855,164.855,163.81,164.1,88559.0
2020-09-18 04:00:00+00:00,164.06,164.15,163.365,163.56,89844.0
2020-09-21 04:00:00+00:00,164.885,165.32,164.15,164.38,230026.0
2020-09-22 04:00:00+00:00,164.45,164.85,163.89,164.29,389240.0
2020-09-23 04:00:00+00:00,164.295,164.53,163.485,164.5,90122.0
2020-09-24 04:00:00+00:00,164.98,165.11,164.64,165.1,117050.0
2020-09-25 04:00:00+00:00,165.09,165.38,164.75,165.11,44713.0
2020-09-28 04:00:00+00:00,164.83,164.87,164.375,164.67,90108.0
2020-09-29 04:00:00+00:00,164.84,165.23,164.64,164.825,102762.0
2020-09-30 04:00:00+00:00,163.94,163.94,162.58,163.31,135255.0
2020-10-01 04:00:00+00:00,162.5,163.73,162.11,163.36,145757.0
2020-10-02 04:00:00+00:00,163.41,163.41,162.2,162.76,121846.0
2020-10-05 04:00:00+00:00,160.87,160.91,159.55,159.56,286356.0
2020-10-06 04:00:00+00:00,159.26,161.405,158.7,160.4,268347.0
2020-10-07 04:00:00+00:00,159.55,160.38,158.88,159.26,122833.0
2020-10-08 04:00:00+00:00,160.04,160.24,159.675,160.13,179021.0
2020-10-09 04:00:00+00:00,159.49,160.23,158.85,160.1,197020.0
2020-10-12 04:00:00+00:00,160.42,160.67,160.12,160.57,55679.0
2020-10-13 04:00:00+00:00,161.2,161.82,161.195,161.75,90785.0
2020-10-14 04:00:00+00:00,162.27,162.71,161.995,162.105,113414.0
2020-10-15 04:00:00+00:00,163.08,163.19,161.69,161.87,121067.0
2020-10-16 04:00:00+00:00,161.79,162.235,161.12,161.44,132736.0
2020-10-19 04:00:00+00:00,160.465,160.95,160.14,160.8,128949.0
2020-10-20 04:00:00+00:00,159.92,159.955,159.0,159.21,143154.0
2020-10-21 04:00:00+00:00,158.69,159.355,158.42,158.795,135785.0
2020-10-22 04:00:00+00:00,158.31,158.605,156.98,156.98,161777.0
2020-10-23 04:00:00+00:00,156.96,158.19,156.96,157.995,84261.0
2020-10-26 04:00:00+00:00,159.16,159.995,159.14,159.47,105529.0
2020-10-27 04:00:00+00:00,160.25,160.645,159.895,160.56,146931.0
2020-10-28 04:00:00+00:00,161.42,161.46,160.2,160.71,136971.0
2020-10-29 04:00:00+00:00,160.75,160.815,158.54,159.145,157193.0
2020-10-30 04:00:00+00:00,159.03,159.3,157.58,157.58,303337.0
2020-11-02 05:00:00+00:00,158.665,159.11,158.34,158.55,99021.0
2020-11-03 05:00:00+00:00,157.82,157.935,157.13,157.66,175022.0
2020-11-04 05:00:00+00:00,161.6,162.14,160.595,161.08,390678.0
2020-11-05 05:00:00+00:00,161.65,161.73,160.645,161.37,184231.0
