date,open,high,low,close,volume
2020-07-27 04:00:00+00:00,409.525,417.57,408.74,416.955,65374.0
2020-07-28 04:00:00+00:00,414.62,415.06,408.5,409.19,66843.0
2020-07-29 04:00:00+00:00,415.26,420.59,414.28,418.87,81744.0
2020-07-30 04:00:00+00:00,416.35,424.87,412.01,424.26,76414.0
2020-07-31 04:00:00+00:00,422.905,428.71,417.6,423.99,158578.0
2020-08-03 04:00:00+00:00,430.19,443.78,429.1,440.38,149605.0
2020-08-04 04:00:00+00:00,442.015,448.84,436.45,448.81,78142.0
2020-08-05 04:00:00+00:00,449.41,454.35,447.1,451.38,54927.0
2020-08-06 04:00:00+00:00,453.44,454.2,447.23,453.41,54539.0
2020-08-07 04:00:00+00:00,453.17,459.96,441.52,447.95,81155.0
2020-08-10 04:00:00+00:00,453.205,455.71,434.43,446.57,78591.0
2020-08-11 04:00:00+00:00,441.67,445.055,432.0,433.58,134686.0
2020-08-12 04:00:00+00:00,439.67,458.665,438.73,457.4,102880.0
2020-08-13 04:00:00+00:00,461.31,468.27,454.38,457.35,103689.0
2020-08-14 04:00:00+00:00,460.72,467.51,457.65,462.4,127912.0
2020-08-17 04:00:00+00:00,474.45,496.2,472.84,493.67,146014.0
2020-08-18 04:00:00+00:00,498.01,499.09,483.72,490.61,104656.0
2020-08-19 04:00:00+00:00,491.74,491.88,484.14,485.92,110924.0
2020-08-20 04:00:00+00:00,478.7,495.0,475.35,485.56,302776.0
2020-08-21 04:00:00+00:00,489.09,512.03,488.43,507.24,182864.0
2020-08-24 04:00:00+00:00,515.68,516.42,500.915,508.28,168124.0
2020-08-25 04:00:00+00:00,506.485,510.29,503.69,510.23,49596.0
2020-08-26 04:00:00+00:00,511.785,514.71,507.465,510.88,98524.0
2020-08-27 04:00:00+00:00,512.215,512.87,502.94,504.76,96154.0
2020-08-28 04:00:00+00:00,505.99,525.86,505.99,525.83,120688.0
2020-08-31 04:00:00+00:00,527.655,542.68,521.89,534.93,216201.0
2020-09-01 04:00:00+00:00,539.575,559.7,538.34,553.14,145248.0
2020-09-02 04:00:00+00:00,588.215,588.285,558.97,573.94,218677.0
2020-09-03 04:00:00+00:00,552.57,555.0,516.01,520.65,243085.0
2020-09-04 04:00:00+00:00,509.04,526.19,468.5,504.69,557876.0
2020-09-08 04:00:00+00:00,468.55,502.0,468.3,475.76,197222.0
2020-09-09 04:00:00+00:00,496.72,512.24,489.73,508.65,167091.0
2020-09-10 04:00:00+00:00,519.51,522.5,486.82,493.09,181448.0
2020-09-11 04:00:00+00:00,500.29,506.08,476.35,487.11,211892.0
2020-09-14 04:00:00+00:00,523.6,532.36,505.73,514.71,233644.0
2020-09-15 04:00:00+00:00,531.605,531.685,513.26,519.66,198246.0
2020-09-16 04:00:00+00:00,519.13,523.24,500.59,500.59,110227.0
2020-09-17 04:00:00+00:00,485.41,503.26,481.43,498.55,134473.0
2020-09-18 04:00:00+00:00,505.02,505.02,480.0,487.47,181791.0
2020-09-21 04:00:00+00:00,478.65,500.75,476.32,500.64,175316.0
2020-09-22 04:00:00+00:00,503.26,505.85,487.1,505.07,132091.0
2020-09-23 04:00:00+00:00,502.65,508.9,483.25,484.52,121350.0
2020-09-24 04:00:00+00:00,481.75,502.65,481.72,493.66,110948.0
2020-09-25 04:00:00+00:00,497.06,515.16,490.395,514.84,131884.0
2020-09-28 04:00:00+00:00,521.81,522.01,510.0,520.9,110688.0
2020-09-29 04:00:00+00:00,517.85,537.42,517.85,528.89,133815.0
2020-09-30 04:00:00+00:00,526.54,544.59,526.19,541.38,137214.0
2020-10-01 04:00:00+00:00,550.32,550.32,538.45,544.39,307327.0
2020-10-02 04:00:00+00:00,527.795,540.78,522.34,522.34,287424.0
2020-10-05 04:00:00+00:00,530.34,545.72,529.12,545.7,333928.0
2020-10-06 04:00:00+00:00,553.17,565.49,546.86,549.34,263055.0
2020-10-07 04:00:00+00:00,560.68,564.46,554.74,558.46,166875.0
2020-10-08 04:00:00+00:00,562.46,562.46,550.53,553.69,123230.0
2020-10-09 04:00:00+00:00,550.0,552.63,546.74,550.54,133049.0
2020-10-12 04:00:00+00:00,559.385,573.77,556.62,569.02,114035.0
2020-10-13 04:00:00+00:00,571.05,573.8,561.01,570.37,97372.0
2020-10-14 04:00:00+00:00,571.68,573.42,559.18,563.46,158856.0
2020-10-15 04:00:00+00:00,552.5,560.17,550.78,558.76,110558.0
2020-10-16 04:00:00+00:00,562.64,564.575,551.77,552.47,123983.0
2020-10-19 04:00:00+00:00,555.775,559.03,536.91,539.79,128744.0
2020-10-20 04:00:00+00:00,542.48,551.99,540.47,546.21,80128.0
2020-10-21 04:00:00+00:00,544.125,551.29,539.21,541.57,127274.0
2020-10-22 04:00:00+00:00,540.83,544.42,529.6,534.0,273563.0
2020-10-23 04:00:00+00:00,537.02,543.66,532.04,543.42,117860.0
2020-10-26 04:00:00+00:00,536.9,547.03,522.21,525.725,183675.0
2020-10-27 04:00:00+00:00,532.18,537.67,527.84,535.84,127660.0
2020-10-28 04:00:00+00:00,527.62,529.24,504.42,504.77,222855.0
2020-10-29 04:00:00+00:00,512.72,527.6,510.715,521.02,135770.0
2020-10-30 04:00:00+00:00,514.17,516.925,492.075,501.93,226076.0
2020-11-02 05:00:00+00:00,505.7,513.12,495.89,503.26,242724.0
2020-11-03 05:00:00+00:00,508.35,524.04,504.16,520.88,222479.0
2020-11-04 05:00:00+00:00,535.66,552.98,533.67,552.0,277114.0
2020-11-05 05:00:00+00:00,566.78,573.53,559.95,566.74,267780.0
2020-11-06 05:00:00+00:00,564.39,583.46,556.0,582.25,276704.0
2020-11-09 05:00:00+00:00,582.115,587.65,545.215,545.215,422739.0
2020-11-10 05:00:00+00:00,544.26,544.26,505.75,510.68,647456.0
2020-11-11 05:00:00+00:00,522.12,537.09,518.78,537.0,291417.0
2020-11-12 05:00:00+00:00,538.97,550.55,532.88,538.35,262947.0
2020-11-13 05:00:00+00:00,545.19,546.59,522.46,532.21,303426.0
2020-11-16 05:00:00+00:00,527.35,545.81,526.51,540.82,400854.0
2020-11-17 05:00:00+00:00,542.18,543.71,532.21,536.61,268244.0
2020-11-18 05:00:00+00:00,538.5,544.11,527.45,537.98,318649.0
2020-11-19 05:00:00+00:00,528.755,539.48,524.41,538.0,351821.0
2020-11-20 05:00:00+00:00,538.69,539.74,522.715,523.27,231124.0
2020-11-23 05:00:00+00:00,526.71,535.22,520.81,525.87,244271.0
2020-11-24 05:00:00+00:00,525.735,526.15,515.79,518.42,245755.0
