rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
559,MM-0787,EMA200+RSI+MACD,1.0,14,10,Balanced,3.0,8.0,9,0,0.1442,0.16,-1.0733,0.8506,1.9723,1.2459,5.0,0.0,7.5728,REJECT
560,MM-0693,EMA200+BXStyle,1.2,10,20,Balanced,3.0,8.0,9,0,0.4986,0.769,-1.8929,1.4489,2.4166,1.2154,12.0,0.0,7.5712,REJECT
561,MM-0523,EMA200+RSI,1.2,7,10,Balanced,3.0,8.0,9,2,-0.2416,0.7804,-1.3424,1.5391,2.847,0.9262,18.0,22.22,7.5609,REJECT
562,MM-0306,RelativeVolume,1.0,14,30,Trend,4.0,10.0,9,2,0.3815,0.6221,-2.8821,2.0182,5.3939,1.1107,19.0,22.22,7.5219,REJECT
563,MM-0259,ADX,1.2,10,10,Balanced,3.0,8.0,9,0,0.2462,0.4271,-1.7355,0.856,3.0522,1.2809,6.0,0.0,7.5147,REJECT
564,MM-0411,SmoothedHeikenAshi,1.0,14,20,Balanced,3.0,8.0,9,1,0.2964,0.448,-1.5505,1.7039,2.6373,1.0952,14.0,11.11,7.5076,REJECT
565,MM-0241,ADX,1.0,10,10,Balanced,3.0,8.0,9,0,0.1281,0.556,-1.3186,1.0669,2.7583,1.2809,6.0,0.0,7.497,REJECT
566,MM-0428,SmoothedHeikenAshi,1.2,14,10,Trend,4.0,10.0,9,0,0.4351,0.632,-2.6015,1.5274,3.4252,1.3991,13.0,0.0,7.4912,REJECT
567,MM-0136,RSI,1.0,10,20,Trend,4.0,10.0,9,3,-0.1814,0.7,-2.7665,1.9509,4.8212,0.9634,24.0,33.33,7.4679,REJECT
568,MM-0200,MACD,1.2,7,10,Trend,4.0,10.0,9,0,0.1894,1.1813,-1.6715,1.2054,2.503,1.1761,9.0,0.0,7.4357,REJECT
569,MM-0413,SmoothedHeikenAshi,1.0,14,30,Balanced,3.0,8.0,9,1,0.3139,0.4746,-1.8633,1.7039,2.6373,1.1033,14.0,11.11,7.4303,REJECT
570,MM-0464,BXStyle,1.0,14,10,Trend,4.0,10.0,9,0,0.4167,0.8527,-0.7114,1.6659,2.7336,1.1583,14.0,0.0,7.3964,REJECT
571,MM-0779,EMA200+RSI+MACD,1.0,7,30,Balanced,3.0,8.0,9,0,0.2618,0.0787,-1.0733,0.7921,1.9723,1.1815,5.0,0.0,7.3762,REJECT
572,MM-0551,EMA200+MACD,0.8,10,30,Balanced,3.0,8.0,9,1,-0.0047,0.3805,-1.1456,1.0574,2.0573,1.0071,7.0,11.11,7.3617,REJECT
573,MM-0163,MACD,0.8,7,10,Balanced,3.0,8.0,9,0,0.1145,1.1103,-1.0432,1.1562,2.1563,1.1155,14.0,0.0,7.338,REJECT
574,MM-0775,EMA200+RSI+MACD,1.0,7,10,Balanced,3.0,8.0,9,0,0.1944,0.141,-1.0733,0.7745,1.9723,1.1815,5.0,0.0,7.2938,REJECT
575,MM-0687,EMA200+BXStyle,1.2,7,20,Balanced,3.0,8.0,9,0,0.5284,0.5102,-1.7444,1.5189,2.4166,1.2154,13.0,0.0,7.2787,REJECT
576,MM-0522,EMA200+RSI,1.0,14,30,Trend,4.0,10.0,9,3,-0.4656,0.9327,-2.0637,1.801,3.8445,0.8463,21.0,33.33,7.2678,REJECT
577,MM-0235,ADX,1.0,7,10,Balanced,3.0,8.0,9,0,0.0896,0.5668,-1.4174,1.0844,2.8556,1.2809,6.0,0.0,7.2488,REJECT
578,MM-0625,RSI+MACD,1.0,14,10,Balanced,3.0,8.0,9,0,0.1599,0.1882,-0.2127,0.9964,2.8594,1.1962,8.0,0.0,7.2478,REJECT
579,MM-0400,SmoothedHeikenAshi,1.0,7,20,Trend,4.0,10.0,9,1,0.4736,0.4883,-2.3977,1.572,3.3631,1.0863,14.0,11.11,7.2281,REJECT
580,MM-0626,RSI+MACD,1.0,14,10,Trend,4.0,10.0,9,0,0.1599,0.2044,-0.8141,0.9101,3.1102,1.2424,8.0,0.0,7.1946,REJECT
581,MM-0354,LinearRegression,1.0,10,30,Trend,4.0,10.0,9,0,0.6066,0.7587,-1.7373,1.6017,2.9382,1.1728,13.0,0.0,7.1657,REJECT
