rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
660,MM-0644,RSI+MACD,1.2,14,10,Trend,4.0,10.0,9,0,-0.0602,0.9805,-1.0902,0.9078,1.9266,0.8816,6.0,0.0,5.2003,REJECT
661,MM-0552,EMA200+MACD,0.8,10,30,Trend,4.0,10.0,9,1,-0.151,0.2995,-1.4432,1.0574,2.3522,0.8506,7.0,11.11,5.1786,REJECT
662,MM-0595,RSI+MACD,0.8,7,10,Balanced,3.0,8.0,9,0,0.0456,0.5996,-1.1104,1.416,2.351,1.0177,11.0,0.0,5.0456,REJECT
663,MM-0781,EMA200+RSI+MACD,1.0,10,10,Balanced,3.0,8.0,9,0,0.0,0.065,-1.0733,0.7745,1.9723,0.9864,5.0,0.0,5.0358,REJECT
664,MM-0456,BXStyle,1.0,7,30,Trend,4.0,10.0,9,0,0.1501,0.5457,-1.1007,1.572,3.3211,1.0741,15.0,0.0,5.0176,REJECT
665,MM-0474,BXStyle,1.2,7,30,Trend,4.0,10.0,9,0,0.1894,0.9397,-1.934,1.5274,3.6457,1.0665,14.0,0.0,4.9453,REJECT
666,MM-0485,BXStyle,1.2,14,30,Balanced,3.0,8.0,9,0,0.2463,0.7163,-2.0041,1.8688,2.3736,1.0709,14.0,0.0,4.8875,REJECT
667,MM-0407,SmoothedHeikenAshi,1.0,10,30,Balanced,3.0,8.0,9,1,-0.1303,0.3077,-1.6587,1.7039,2.6373,0.9634,14.0,11.11,4.8815,REJECT
668,MM-0425,SmoothedHeikenAshi,1.2,10,30,Balanced,3.0,8.0,9,0,0.1882,0.4566,-1.3882,1.7809,2.3385,1.0611,13.0,0.0,4.8565,REJECT
669,MM-0423,SmoothedHeikenAshi,1.2,10,20,Balanced,3.0,8.0,9,0,0.1882,0.4308,-1.5884,1.6026,2.5369,1.0611,13.0,0.0,4.8359,REJECT
670,MM-0582,EMA200+MACD,1.2,7,30,Trend,4.0,10.0,9,0,0.0,0.8423,-1.2047,0.9934,1.6141,0.8465,5.0,0.0,4.8348,REJECT
671,MM-0805,EMA200+RSI+MACD,1.2,14,10,Balanced,3.0,8.0,9,0,0.0,0.3573,-0.7025,0.8328,1.9723,0.8816,4.0,0.0,4.8265,REJECT
672,MM-0556,EMA200+MACD,0.8,14,20,Trend,4.0,10.0,9,1,-0.151,0.708,-0.6998,1.054,2.4788,0.6635,6.0,11.11,4.7939,REJECT
673,MM-0161,RSI,1.2,14,30,Balanced,3.0,8.0,9,2,-0.4187,0.4722,-2.3106,1.9694,2.957,0.8778,20.0,22.22,4.7534,REJECT
674,MM-0558,EMA200+MACD,0.8,14,30,Trend,4.0,10.0,9,1,-0.1553,0.689,-0.6998,1.054,2.4788,0.6635,6.0,11.11,4.7525,REJECT
675,MM-0539,EMA200+RSI,1.2,14,30,Balanced,3.0,8.0,9,2,-0.2847,0.4739,-2.3106,1.9694,2.847,0.8141,18.0,22.22,4.7035,REJECT
676,MM-0701,EMA200+BXStyle,1.2,14,30,Balanced,3.0,8.0,9,0,0.196,0.664,-2.0041,1.7856,2.4166,1.063,12.0,0.0,4.6983,REJECT
677,MM-0791,EMA200+RSI+MACD,1.0,14,30,Balanced,3.0,8.0,9,0,0.0,0.1644,-1.0733,0.8682,1.9723,0.9413,5.0,0.0,4.6836,REJECT
678,MM-0610,RSI+MACD,0.8,14,20,Trend,4.0,10.0,9,0,-0.1443,1.2163,-1.0621,1.054,2.4788,0.8604,11.0,0.0,4.6578,REJECT
679,MM-0429,SmoothedHeikenAshi,1.2,14,20,Balanced,3.0,8.0,9,0,0.1882,0.4265,-1.4039,1.9602,2.0963,1.0611,13.0,0.0,4.6517,REJECT
680,MM-0160,RSI,1.2,14,20,Trend,4.0,10.0,9,2,-0.5534,0.8304,-2.3013,1.4991,4.1761,0.8349,20.0,22.22,4.6463,REJECT
681,MM-0537,EMA200+RSI,1.2,14,20,Balanced,3.0,8.0,9,2,-0.4872,0.5208,-2.3106,1.6695,2.847,0.8141,18.0,22.22,4.6161,REJECT
682,MM-0810,EMA200+RSI+MACD,1.2,14,30,Trend,4.0,10.0,9,0,0.0,0.9338,-0.8784,0.8324,1.5656,0.7342,4.0,0.0,4.5841,REJECT
683,MM-0541,EMA200+MACD,0.8,7,10,Balanced,3.0,8.0,9,0,0.0033,0.3411,-1.1925,1.416,2.1563,1.0171,8.0,0.0,4.5618,REJECT
684,MM-0629,RSI+MACD,1.0,14,30,Balanced,3.0,8.0,9,0,-0.0753,0.153,-0.2127,0.9964,2.8594,0.9486,8.0,0.0,4.5085,REJECT
685,MM-0619,RSI+MACD,1.0,10,10,Balanced,3.0,8.0,9,0,-0.0107,0.0429,-0.688,0.9964,2.8594,0.9864,9.0,0.0,4.4831,REJECT
686,MM-0466,BXStyle,1.0,14,20,Trend,4.0,10.0,9,0,0.0221,0.6674,-1.2794,1.6994,2.7336,1.0277,14.0,0.0,4.4136,REJECT
687,MM-0144,RSI,1.0,14,30,Trend,4.0,10.0,9,3,-0.611,0.5258,-3.1055,1.9509,5.424,0.8426,23.0,33.33,4.3957,REJECT
688,MM-0431,SmoothedHeikenAshi,1.2,14,30,Balanced,3.0,8.0,9,0,0.1882,0.3799,-1.7171,1.8935,2.2263,1.0611,13.0,0.0,4.3821,REJECT
689,MM-0132,RSI,1.0,7,30,Trend,4.0,10.0,9,3,-0.7112,0.613,-3.2347,1.5018,5.5501,0.7961,24.0,33.33,4.3676,REJECT
690,MM-0796,EMA200+RSI+MACD,1.2,7,20,Trend,4.0,10.0,9,0,0.0,0.9804,-0.5386,0.7571,1.6141,0.6502,5.0,0.0,4.3255,REJECT
691,MM-0597,RSI+MACD,0.8,7,20,Balanced,3.0,8.0,9,0,0.0456,0.4175,-1.3184,1.6233,2.351,1.0177,11.0,0.0,4.3054,REJECT
692,MM-0599,RSI+MACD,0.8,7,30,Balanced,3.0,8.0,9,0,0.0456,0.4175,-1.3184,1.6233,2.351,1.0177,11.0,0.0,4.3054,REJECT
693,MM-0408,SmoothedHeikenAshi,1.0,10,30,Trend,4.0,10.0,9,1,0.1703,0.3174,-3.5439,1.6994,4.3595,1.0595,14.0,11.11,4.2985,REJECT
694,MM-0559,EMA200+MACD,1.0,7,10,Balanced,3.0,8.0,9,0,0.0,0.0634,-1.0733,0.7745,2.4483,0.9237,5.0,0.0,4.2938,REJECT
695,MM-0292,RelativeVolume,1.0,7,20,Trend,4.0,10.0,9,1,0.0916,1.0362,-3.7343,1.624,5.8262,1.049,19.0,11.11,4.2935,REJECT
696,MM-0630,RSI+MACD,1.0,14,30,Trend,4.0,10.0,9,0,-0.0818,0.1801,-0.8141,0.9101,3.1102,0.9698,8.0,0.0,4.2523,REJECT
697,MM-0628,RSI+MACD,1.0,14,20,Trend,4.0,10.0,9,0,-0.0818,0.1703,-0.8141,0.9101,3.1102,0.9698,8.0,0.0,4.2377,REJECT
698,MM-0297,RelativeVolume,1.0,10,20,Balanced,3.0,8.0,9,1,-0.1726,0.9453,-2.7353,1.5496,4.0386,0.9367,21.0,11.11,4.2208,REJECT
699,MM-0540,EMA200+RSI,1.2,14,30,Trend,4.0,10.0,9,2,-0.6174,0.6362,-2.3144,1.7995,3.5785,0.8604,18.0,22.22,4.2055,REJECT
700,MM-0299,RelativeVolume,1.0,10,30,Balanced,3.0,8.0,9,1,-0.1726,0.9319,-2.7353,1.5496,4.0386,0.9367,21.0,11.11,4.2007,REJECT
701,MM-0572,EMA200+MACD,1.0,14,10,Trend,4.0,10.0,9,0,0.0,0.0776,-1.2224,0.9101,3.2228,0.9965,5.0,0.0,4.1951,REJECT
702,MM-0773,EMA200+RSI+MACD,0.8,14,30,Balanced,3.0,8.0,9,0,-0.151,0.7395,-0.55,1.054,1.9319,0.8099,6.0,0.0,4.176,REJECT
703,MM-0800,EMA200+RSI+MACD,1.2,10,10,Trend,4.0,10.0,9,0,-0.1576,0.7626,-0.5304,0.7571,1.5656,0.7252,5.0,0.0,4.1564,REJECT
704,MM-0254,ADX,1.2,7,10,Trend,4.0,10.0,9,0,-0.2195,0.7351,-0.7475,0.8963,2.4017,0.8515,6.0,0.0,4.1502,REJECT
705,MM-0561,EMA200+MACD,1.0,7,20,Balanced,3.0,8.0,9,0,0.0,0.0008,-1.0733,0.8159,2.4483,0.9237,5.0,0.0,4.1378,REJECT
706,MM-0298,RelativeVolume,1.0,10,20,Trend,4.0,10.0,9,1,-0.1008,1.0814,-3.3036,1.5496,4.7377,0.9703,21.0,11.11,4.1334,REJECT
707,MM-0684,EMA200+BXStyle,1.0,14,30,Trend,4.0,10.0,9,0,-0.0334,0.712,-1.045,1.6777,2.9732,0.9908,13.0,0.0,4.1073,REJECT
708,MM-0239,ADX,1.0,7,30,Balanced,3.0,8.0,9,0,-0.0146,0.4992,-1.4174,1.0844,2.8556,0.938,6.0,0.0,4.0915,REJECT
709,MM-0304,RelativeVolume,1.0,14,20,Trend,4.0,10.0,9,1,-0.0261,0.7432,-2.8821,1.5496,5.3939,1.0014,19.0,11.11,4.0871,REJECT
710,MM-0563,EMA200+MACD,1.0,7,30,Balanced,3.0,8.0,9,0,0.0,-0.0347,-1.0733,0.8159,2.4483,0.9237,5.0,0.0,4.0846,REJECT
711,MM-0237,ADX,1.0,7,20,Balanced,3.0,8.0,9,0,-0.0146,0.4763,-1.4174,1.0844,2.8556,0.938,6.0,0.0,4.0572,REJECT
712,MM-0614,RSI+MACD,1.0,7,10,Trend,4.0,10.0,9,0,-0.1369,0.1941,-0.6014,0.9101,3.1102,0.9418,9.0,0.0,4.0436,REJECT
713,MM-0573,EMA200+MACD,1.0,14,20,Balanced,3.0,8.0,9,0,0.0,0.0411,-1.0733,0.9964,2.6374,0.9489,5.0,0.0,4.0346,REJECT
714,MM-0311,RelativeVolume,1.2,7,30,Balanced,3.0,8.0,9,0,0.1204,0.7268,-1.6912,2.0114,3.5194,1.0769,15.0,0.0,4.0213,REJECT
715,MM-0460,BXStyle,1.0,10,20,Trend,4.0,10.0,9,0,-0.0055,0.6335,-0.636,1.6994,3.9194,1.0046,15.0,0.0,3.9847,REJECT
716,MM-0768,EMA200+RSI+MACD,0.8,10,30,Trend,4.0,10.0,9,1,-0.151,0.377,-1.4432,1.0574,2.3522,0.684,7.0,11.11,3.9622,REJECT
717,MM-0238,ADX,1.0,7,20,Trend,4.0,10.0,9,0,-0.0146,0.6723,-1.5346,1.0476,3.5853,0.938,6.0,0.0,3.9536,REJECT
718,MM-0615,RSI+MACD,1.0,7,20,Balanced,3.0,8.0,9,0,-0.0668,0.0568,-0.8968,1.1276,2.8594,0.9786,9.0,0.0,3.9199,REJECT
719,MM-0592,EMA200+MACD,1.2,14,20,Trend,4.0,10.0,9,0,0.0,1.0973,-0.8784,0.9508,1.5656,0.6417,4.0,0.0,3.9118,REJECT
720,MM-0309,RelativeVolume,1.2,7,20,Balanced,3.0,8.0,9,0,0.1204,0.6432,-1.6912,2.0114,3.5194,1.0769,15.0,0.0,3.896,REJECT
721,MM-0794,EMA200+RSI+MACD,1.2,7,10,Trend,4.0,10.0,9,0,-0.1576,0.696,-0.7218,0.7571,1.6141,0.7252,5.0,0.0,3.8887,REJECT
722,MM-0617,RSI+MACD,1.0,7,30,Balanced,3.0,8.0,9,0,-0.0668,0.0213,-0.8968,1.1276,2.8594,0.9786,9.0,0.0,3.8666,REJECT
723,MM-0621,RSI+MACD,1.0,10,20,Balanced,3.0,8.0,9,0,-0.0668,-0.024,-0.9021,1.1276,2.8594,0.9786,9.0,0.0,3.7947,REJECT
724,MM-0253,ADX,1.2,7,10,Balanced,3.0,8.0,9,0,-0.1096,0.3529,-1.4431,0.8963,2.7638,0.9226,6.0,0.0,3.7727,REJECT
725,MM-0575,EMA200+MACD,1.0,14,30,Balanced,3.0,8.0,9,0,-0.0753,0.0509,-1.0733,0.9964,2.6374,0.9413,5.0,0.0,3.7625,REJECT
726,MM-0240,ADX,1.0,7,30,Trend,4.0,10.0,9,0,-0.0146,0.5444,-1.5346,1.0476,3.5853,0.938,6.0,0.0,3.7619,REJECT
727,MM-0565,EMA200+MACD,1.0,10,10,Balanced,3.0,8.0,9,0,0.0,-0.0125,-1.0733,0.7745,2.6374,0.8823,5.0,0.0,3.7542,REJECT
728,MM-0623,RSI+MACD,1.0,10,30,Balanced,3.0,8.0,9,0,-0.0668,-0.0594,-0.9021,1.1276,2.8594,0.9786,9.0,0.0,3.7416,REJECT
729,MM-0303,RelativeVolume,1.0,14,20,Balanced,3.0,8.0,9,1,-0.2168,0.6665,-2.4585,1.5496,4.5261,0.9487,19.0,11.11,3.7298,REJECT
730,MM-0700,EMA200+BXStyle,1.2,14,20,Trend,4.0,10.0,9,0,-0.1383,1.1961,-1.9486,1.6651,2.2775,0.9281,12.0,0.0,3.7063,REJECT
731,MM-0257,ADX,1.2,7,30,Balanced,3.0,8.0,9,0,-0.0783,0.4647,-1.4431,1.0642,2.7638,0.9106,6.0,0.0,3.6864,REJECT
732,MM-0588,EMA200+MACD,1.2,10,30,Trend,4.0,10.0,9,0,0.0,0.8458,-0.7549,1.0367,1.5656,0.6595,6.0,0.0,3.6407,REJECT
733,MM-0586,EMA200+MACD,1.2,10,20,Trend,4.0,10.0,9,0,0.0,0.9149,-0.9154,0.9508,1.5656,0.6417,6.0,0.0,3.6104,REJECT
734,MM-0793,EMA200+RSI+MACD,1.2,7,10,Balanced,3.0,8.0,9,0,0.0,0.2878,-0.6932,0.7571,1.9723,0.7252,5.0,0.0,3.5915,REJECT
735,MM-0484,BXStyle,1.2,14,20,Trend,4.0,10.0,9,0,-0.1473,1.1633,-1.9486,1.5274,3.0079,0.9427,14.0,0.0,3.5881,REJECT
736,MM-0799,EMA200+RSI+MACD,1.2,10,10,Balanced,3.0,8.0,9,0,0.0,0.33,-0.7025,0.8328,1.9723,0.7252,5.0,0.0,3.5344,REJECT
737,MM-0251,ADX,1.0,14,30,Balanced,3.0,8.0,9,0,-0.0783,0.52,-1.0378,1.0844,2.7583,0.8442,6.0,0.0,3.5146,REJECT
738,MM-0294,RelativeVolume,1.0,7,30,Trend,4.0,10.0,9,1,0.0916,0.8699,-3.7343,2.0119,5.8262,1.049,19.0,11.11,3.4623,REJECT
739,MM-0596,RSI+MACD,0.8,7,10,Trend,4.0,10.0,9,0,-0.1507,0.6115,-1.1104,1.416,2.6086,0.9037,11.0,0.0,3.4337,REJECT
740,MM-0468,BXStyle,1.0,14,30,Trend,4.0,10.0,9,0,-0.0334,0.5659,-1.401,1.6994,3.3291,0.9908,14.0,0.0,3.4107,REJECT
741,MM-0252,ADX,1.0,14,30,Trend,4.0,10.0,9,0,-0.0783,0.5288,-1.0063,1.0815,3.4886,0.8715,6.0,0.0,3.409,REJECT
742,MM-0567,EMA200+MACD,1.0,10,20,Balanced,3.0,8.0,9,0,0.0,-0.0755,-1.0733,1.0189,2.6374,0.8823,5.0,0.0,3.2931,REJECT
743,MM-0162,RSI,1.2,14,30,Trend,4.0,10.0,9,2,-0.5534,0.5161,-2.904,1.7995,4.1761,0.8349,20.0,22.22,3.2722,REJECT
744,MM-0569,EMA200+MACD,1.0,10,30,Balanced,3.0,8.0,9,0,0.0,-0.1109,-1.0733,1.0189,2.6374,0.8823,5.0,0.0,3.24,REJECT
745,MM-0612,RSI+MACD,0.8,14,30,Trend,4.0,10.0,9,0,-0.151,1.1974,-1.0621,1.054,2.4788,0.684,11.0,0.0,3.1981,REJECT
746,MM-0300,RelativeVolume,1.0,10,30,Trend,4.0,10.0,9,1,-0.1008,0.9152,-3.3036,2.0182,4.7377,0.9703,21.0,11.11,3.1811,REJECT
747,MM-0590,EMA200+MACD,1.2,14,10,Trend,4.0,10.0,9,0,0.0,0.7881,-0.5675,0.9078,1.5656,0.5611,4.0,0.0,3.1008,REJECT
748,MM-0806,EMA200+RSI+MACD,1.2,14,10,Trend,4.0,10.0,9,0,-0.0602,0.7467,-0.5675,0.7571,1.5656,0.5592,4.0,0.0,3.069,REJECT
749,MM-0792,EMA200+RSI+MACD,1.0,14,30,Trend,4.0,10.0,9,0,0.0,0.2776,-1.2224,0.9101,2.0444,0.7424,5.0,0.0,3.0514,REJECT
750,MM-0790,EMA200+RSI+MACD,1.0,14,20,Trend,4.0,10.0,9,0,0.0,0.2678,-1.2224,0.9101,2.0444,0.7424,5.0,0.0,3.0368,REJECT
751,MM-0678,EMA200+BXStyle,1.0,10,30,Trend,4.0,10.0,9,0,-0.2201,0.7262,-0.8193,1.5931,2.9732,0.8865,14.0,0.0,3.0302,REJECT
752,MM-0776,EMA200+RSI+MACD,1.0,7,10,Trend,4.0,10.0,9,0,0.0,0.2167,-1.2224,0.9101,1.9301,0.7424,5.0,0.0,3.0172,REJECT
753,MM-0622,RSI+MACD,1.0,10,20,Trend,4.0,10.0,9,0,-0.1974,0.0813,-0.8157,1.0904,3.1102,0.908,9.0,0.0,2.9913,REJECT
754,MM-0624,RSI+MACD,1.0,10,30,Trend,4.0,10.0,9,0,-0.1974,0.0459,-0.8157,1.0904,3.1102,0.908,9.0,0.0,2.9382,REJECT
755,MM-0782,EMA200+RSI+MACD,1.0,10,10,Trend,4.0,10.0,9,0,0.0,0.1307,-1.2224,0.9101,2.0444,0.7424,5.0,0.0,2.8311,REJECT
756,MM-0594,EMA200+MACD,1.2,14,30,Trend,4.0,10.0,9,0,0.0,0.9447,-0.8784,1.0367,1.5656,0.5504,4.0,0.0,2.8236,REJECT
757,MM-0778,EMA200+RSI+MACD,1.0,7,20,Trend,4.0,10.0,9,0,0.0,0.2227,-1.2224,1.0851,1.9301,0.7424,5.0,0.0,2.7637,REJECT
758,MM-0584,EMA200+MACD,1.2,10,10,Trend,4.0,10.0,9,0,0.0,0.6682,-0.7997,0.9089,1.5656,0.5611,6.0,0.0,2.7451,REJECT
759,MM-0757,EMA200+RSI+MACD,0.8,7,10,Balanced,3.0,8.0,9,0,-0.1507,0.3792,-1.1925,1.416,2.1563,0.837,8.0,0.0,2.7162,REJECT
760,MM-0780,EMA200+RSI+MACD,1.0,7,30,Trend,4.0,10.0,9,0,0.0,0.1872,-1.2224,1.0851,1.9301,0.7424,5.0,0.0,2.7104,REJECT
761,MM-0772,EMA200+RSI+MACD,0.8,14,20,Trend,4.0,10.0,9,0,-0.151,0.7856,-0.6998,1.054,2.4788,0.6635,6.0,0.0,2.6882,REJECT
762,MM-0578,EMA200+MACD,1.2,7,10,Trend,4.0,10.0,9,0,0.0,0.6572,-0.9531,0.9934,1.6141,0.5874,5.0,0.0,2.673,REJECT
763,MM-0138,RSI,1.0,10,30,Trend,4.0,10.0,9,3,-1.0547,0.5237,-2.7665,1.9509,4.8212,0.7219,24.0,33.33,2.6515,REJECT
764,MM-0580,EMA200+MACD,1.2,7,20,Trend,4.0,10.0,9,0,0.0,0.9112,-0.8898,0.9934,1.6141,0.5255,5.0,0.0,2.6063,REJECT
765,MM-0250,ADX,1.0,14,20,Trend,4.0,10.0,9,0,-0.0783,0.6116,-1.0063,1.0815,3.4886,0.7525,6.0,0.0,2.5812,REJECT
766,MM-0784,EMA200+RSI+MACD,1.0,10,20,Trend,4.0,10.0,9,0,0.0,0.1364,-1.2224,1.0904,2.0444,0.7424,5.0,0.0,2.5691,REJECT
767,MM-0690,EMA200+BXStyle,1.2,7,30,Trend,4.0,10.0,9,0,-0.2195,0.8069,-1.3385,1.6651,3.291,0.8921,13.0,0.0,2.5417,REJECT
768,MM-0786,EMA200+RSI+MACD,1.0,10,30,Trend,4.0,10.0,9,0,0.0,0.1009,-1.2224,1.0904,2.0444,0.7424,5.0,0.0,2.5159,REJECT
769,MM-0415,SmoothedHeikenAshi,1.2,7,10,Balanced,3.0,8.0,9,0,-0.0836,0.3059,-1.4589,1.8972,2.4717,0.9289,13.0,0.0,2.4634,REJECT
770,MM-0542,EMA200+MACD,0.8,7,10,Trend,4.0,10.0,9,0,-0.1473,0.2625,-1.49,1.416,2.6132,0.8708,8.0,0.0,2.3702,REJECT
771,MM-0774,EMA200+RSI+MACD,0.8,14,30,Trend,4.0,10.0,9,0,-0.2738,0.7667,-0.6998,1.054,2.4788,0.6635,6.0,0.0,2.2914,REJECT
772,MM-0249,ADX,1.0,14,20,Balanced,3.0,8.0,9,0,-0.0783,0.4521,-1.0378,1.0844,2.7583,0.7015,6.0,0.0,2.2711,REJECT
773,MM-0616,RSI+MACD,1.0,7,20,Trend,4.0,10.0,9,0,-0.2965,0.0868,-0.8104,1.0851,3.1102,0.8291,9.0,0.0,2.0829,REJECT
774,MM-0576,EMA200+MACD,1.0,14,30,Trend,4.0,10.0,9,0,-0.0354,0.113,-1.2224,0.9508,3.2228,0.7424,5.0,0.0,2.0481,REJECT
775,MM-0574,EMA200+MACD,1.0,14,20,Trend,4.0,10.0,9,0,-0.0354,0.1032,-1.2224,0.9508,3.2228,0.7424,5.0,0.0,2.0335,REJECT
776,MM-0618,RSI+MACD,1.0,7,30,Trend,4.0,10.0,9,0,-0.2965,0.0513,-0.8104,1.0851,3.1102,0.8291,9.0,0.0,2.0296,REJECT
777,MM-0560,EMA200+MACD,1.0,7,10,Trend,4.0,10.0,9,0,-0.1369,0.0884,-1.2224,0.9101,2.9678,0.7424,5.0,0.0,1.8952,REJECT
778,MM-0462,BXStyle,1.0,10,30,Trend,4.0,10.0,9,0,-0.2539,0.4565,-1.1402,1.6994,3.9194,0.9138,15.0,0.0,1.8694,REJECT
779,MM-0758,EMA200+RSI+MACD,0.8,7,10,Trend,4.0,10.0,9,0,-0.1507,0.3349,-1.49,1.416,2.4509,0.7806,8.0,0.0,1.8281,REJECT
780,MM-0244,ADX,1.0,10,20,Trend,4.0,10.0,9,0,-0.0783,0.7048,-1.4359,1.0844,3.4886,0.6785,6.0,0.0,1.8024,REJECT
781,MM-0245,ADX,1.0,10,30,Balanced,3.0,8.0,9,0,-0.0783,0.4807,-1.3186,1.0669,2.7583,0.6477,6.0,0.0,1.6992,REJECT
782,MM-0243,ADX,1.0,10,20,Balanced,3.0,8.0,9,0,-0.0783,0.4578,-1.3186,1.0669,2.7583,0.6477,6.0,0.0,1.6649,REJECT
783,MM-0566,EMA200+MACD,1.0,10,10,Trend,4.0,10.0,9,0,-0.1369,0.0026,-1.2224,0.9101,3.2228,0.7424,5.0,0.0,1.639,REJECT
784,MM-0419,SmoothedHeikenAshi,1.2,7,30,Balanced,3.0,8.0,9,0,-0.297,0.2851,-1.4431,1.9537,2.4717,0.9147,13.0,0.0,1.6055,REJECT
785,MM-0543,EMA200+MACD,0.8,7,20,Balanced,3.0,8.0,9,0,-0.1972,0.1701,-1.3184,1.6233,2.1563,0.7931,8.0,0.0,1.5064,REJECT
786,MM-0545,EMA200+MACD,0.8,7,30,Balanced,3.0,8.0,9,0,-0.1972,0.1701,-1.3184,1.6233,2.1563,0.7931,8.0,0.0,1.5064,REJECT
787,MM-0702,EMA200+BXStyle,1.2,14,30,Trend,4.0,10.0,9,0,-0.1383,0.8812,-1.9486,1.6651,3.0735,0.7584,12.0,0.0,1.4783,REJECT
788,MM-0246,ADX,1.0,10,30,Trend,4.0,10.0,9,0,-0.0783,0.5769,-1.4359,1.216,3.4886,0.6785,6.0,0.0,1.4133,REJECT
789,MM-0562,EMA200+MACD,1.0,7,20,Trend,4.0,10.0,9,0,-0.2118,0.0584,-1.2224,1.0851,2.9678,0.7424,5.0,0.0,1.3631,REJECT
790,MM-0564,EMA200+MACD,1.0,7,30,Trend,4.0,10.0,9,0,-0.2118,0.023,-1.2224,1.0851,2.9678,0.7424,5.0,0.0,1.3099,REJECT
791,MM-0568,EMA200+MACD,1.0,10,20,Trend,4.0,10.0,9,0,-0.2118,-0.0277,-1.2224,1.0904,3.2228,0.7424,5.0,0.0,1.0985,REJECT
792,MM-0416,SmoothedHeikenAshi,1.2,7,10,Trend,4.0,10.0,9,0,-0.1717,0.5138,-3.1214,1.5274,3.9407,0.9289,13.0,0.0,1.0843,REJECT
793,MM-0570,EMA200+MACD,1.0,10,30,Trend,4.0,10.0,9,0,-0.2118,-0.0631,-1.2224,1.0904,3.2228,0.7424,5.0,0.0,1.0453,REJECT
794,MM-0255,ADX,1.2,7,20,Balanced,3.0,8.0,9,0,-0.0783,0.3968,-1.4431,1.0642,2.7638,0.5776,6.0,0.0,0.9206,REJECT
795,MM-0430,SmoothedHeikenAshi,1.2,14,20,Trend,4.0,10.0,9,0,-0.4028,0.8399,-2.7008,1.5274,3.5236,0.8646,13.0,0.0,0.8898,REJECT
796,MM-0486,BXStyle,1.2,14,30,Trend,4.0,10.0,9,0,-0.4645,0.8491,-2.0029,1.5274,3.429,0.7982,14.0,0.0,0.758,REJECT
797,MM-0598,RSI+MACD,0.8,7,20,Trend,4.0,10.0,9,0,-0.3721,0.4298,-1.3184,1.6233,2.6086,0.7429,11.0,0.0,0.7436,REJECT
798,MM-0600,RSI+MACD,0.8,7,30,Trend,4.0,10.0,9,0,-0.3721,0.4298,-1.3184,1.6233,2.6086,0.7429,11.0,0.0,0.7436,REJECT
799,MM-0424,SmoothedHeikenAshi,1.2,10,20,Trend,4.0,10.0,9,0,-0.4028,0.7884,-3.2881,1.5274,4.1059,0.8646,13.0,0.0,0.0809,REJECT
800,MM-0417,SmoothedHeikenAshi,1.2,7,20,Balanced,3.0,8.0,9,0,-0.5271,0.2589,-1.5592,1.8972,2.508,0.7891,13.0,0.0,-0.1494,REJECT
801,MM-0759,EMA200+RSI+MACD,0.8,7,20,Balanced,3.0,8.0,9,0,-0.3328,0.2082,-1.3184,1.5779,2.1563,0.6128,8.0,0.0,-0.2176,REJECT
802,MM-0761,EMA200+RSI+MACD,0.8,7,30,Balanced,3.0,8.0,9,0,-0.3328,0.2082,-1.3184,1.5779,2.1563,0.6128,8.0,0.0,-0.2176,REJECT
803,MM-0544,EMA200+MACD,0.8,7,20,Trend,4.0,10.0,9,0,-0.3328,0.0921,-1.49,1.6233,2.6132,0.6791,8.0,0.0,-0.2865,REJECT
804,MM-0546,EMA200+MACD,0.8,7,30,Trend,4.0,10.0,9,0,-0.3328,0.0921,-1.49,1.6233,2.6132,0.6791,8.0,0.0,-0.2865,REJECT
805,MM-0418,SmoothedHeikenAshi,1.2,7,20,Trend,4.0,10.0,9,0,-0.4392,0.6421,-3.2201,1.5274,4.0385,0.778,13.0,0.0,-0.8559,REJECT
806,MM-0432,SmoothedHeikenAshi,1.2,14,30,Trend,4.0,10.0,9,0,-0.4028,0.5291,-3.8049,1.5274,4.6184,0.8646,13.0,0.0,-0.9519,REJECT
807,MM-0760,EMA200+RSI+MACD,0.8,7,20,Trend,4.0,10.0,9,0,-0.3328,0.1643,-1.49,1.6233,2.4509,0.5246,8.0,0.0,-1.333,REJECT
808,MM-0762,EMA200+RSI+MACD,0.8,7,30,Trend,4.0,10.0,9,0,-0.3328,0.1643,-1.49,1.6233,2.4509,0.5246,8.0,0.0,-1.333,REJECT
809,MM-0426,SmoothedHeikenAshi,1.2,10,30,Trend,4.0,10.0,9,0,-0.4028,0.59,-4.3856,1.5274,5.1941,0.8646,13.0,0.0,-1.5839,REJECT
810,MM-0420,SmoothedHeikenAshi,1.2,7,30,Trend,4.0,10.0,9,0,-0.4831,0.4439,-4.3184,1.5274,5.1275,0.7575,13.0,0.0,-2.817,REJECT
