fold,model,lightgbm_weight,xgboost_weight,model_accuracy,model_roc_auc,total_return,maximum_drawdown,trades,win_rate,profit_factor,exposure
1,lightgbm,1.0,0.0,0.5145631067961165,0.5707061900610289,0.03444295595662017,-0.009816428031113267,14,0.5714285714285714,4.5656559628344455,0.8446601941747572
1,xgboost,0.0,1.0,0.511326860841424,0.5601569311246732,0.03147131651378632,-0.013614569828020895,14,0.7142857142857143,6.010653239104926,0.8802588996763754
1,ensemble_50_50,0.5,0.5,0.5080906148867314,0.5656059285091544,0.02709985249281921,-0.016524458154787314,15,0.6,2.64860052652757,0.8802588996763754
1,ensemble_60_40,0.6,0.4,0.5048543689320388,0.5663469921534439,0.02709985249281921,-0.016524458154787314,15,0.6,2.64860052652757,0.8802588996763754
1,ensemble_70_30,0.7,0.3,0.5080906148867314,0.5681342632955536,0.02757921479085934,-0.016524458154787536,15,0.6,2.7263889154483114,0.8802588996763754
2,lightgbm,1.0,0.0,0.5857605177993528,0.5462737865705424,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,1.217524016670655,0.7637540453074434
2,xgboost,0.0,1.0,0.6019417475728155,0.5701232291055411,0.0061035237176696455,-0.014768745869424671,12,0.6666666666666666,1.3313526058559877,0.7637540453074434
2,ensemble_50_50,0.5,0.5,0.5857605177993528,0.5594349903596277,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,1.217524016670655,0.7637540453074434
2,ensemble_60_40,0.6,0.4,0.5825242718446602,0.5564171347137228,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,1.217524016670655,0.7637540453074434
2,ensemble_70_30,0.7,0.3,0.5889967637540453,0.5539022550088021,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,1.217524016670655,0.7637540453074434
3,lightgbm,1.0,0.0,0.511326860841424,0.554998299897994,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.8867313915857605
3,xgboost,0.0,1.0,0.4919093851132686,0.5719143148588915,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.8867313915857605
3,ensemble_50_50,0.5,0.5,0.511326860841424,0.5661764705882353,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.8867313915857605
3,ensemble_60_40,0.6,0.4,0.5080906148867314,0.5641363481808909,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.8867313915857605
3,ensemble_70_30,0.7,0.3,0.511326860841424,0.5615861951717103,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.8867313915857605
4,lightgbm,1.0,0.0,0.4919093851132686,0.5190645190645191,0.015140410550442684,-0.00968629495896367,14,0.5714285714285714,3.8421850657432275,0.8673139158576052
4,xgboost,0.0,1.0,0.517799352750809,0.5426790426790427,0.006571151106760098,-0.010432587901128554,13,0.5384615384615384,1.777765085147515,0.7864077669902912
4,ensemble_50_50,0.5,0.5,0.5048543689320388,0.5293475293475294,0.011629154436383127,-0.007058047984897287,13,0.6153846153846154,2.678942043843438,0.8025889967637541
4,ensemble_60_40,0.6,0.4,0.5048543689320388,0.5276640276640276,0.015140410550442684,-0.00968629495896367,14,0.5714285714285714,3.8421850657432275,0.8673139158576052
4,ensemble_70_30,0.7,0.3,0.5080906148867314,0.525025025025025,0.015140410550442684,-0.00968629495896367,14,0.5714285714285714,3.8421850657432275,0.8673139158576052
5,lightgbm,1.0,0.0,0.4336569579288026,0.5653824986241056,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.7475728155339806
5,xgboost,0.0,1.0,0.47249190938511326,0.567033571821684,0.030269956535377673,-0.009830578402286627,13,0.6923076923076923,10.645796949758806,0.8122977346278317
5,ensemble_50_50,0.5,0.5,0.44336569579288027,0.5666483214089159,0.03351710914161554,-0.0072398910821041,13,0.7692307692307693,9.526758476523826,0.8122977346278317
5,ensemble_60_40,0.6,0.4,0.43042071197411,0.5665382498624107,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.7475728155339806
5,ensemble_70_30,0.7,0.3,0.4368932038834951,0.5657127132636213,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.7475728155339806
6,lightgbm,1.0,0.0,0.36129032258064514,0.44175438596491234,0.03161390467461911,-0.015656579488890765,11,0.7272727272727273,3.171219760813992,0.6258064516129033
6,xgboost,0.0,1.0,0.42258064516129035,0.46344298245614035,0.02354290394047842,-0.015656579488890987,11,0.6363636363636364,2.549053405348654,0.6258064516129033
6,ensemble_50_50,0.5,0.5,0.38387096774193546,0.4499780701754386,0.0216238864371332,-0.015656579488890876,11,0.6363636363636364,2.423017162434951,0.6258064516129033
6,ensemble_60_40,0.6,0.4,0.38064516129032255,0.4487061403508772,0.0216238864371332,-0.015656579488890876,11,0.6363636363636364,2.423017162434951,0.6258064516129033
6,ensemble_70_30,0.7,0.3,0.38064516129032255,0.44690789473684206,0.030275668716218673,-0.015656579488890765,11,0.7272727272727273,3.0807272831695394,0.6258064516129033
