fold,policy,final_value,total_return,maximum_drawdown,trades,win_rate,profit_factor,mean_position_percent,minimum_position_percent,maximum_position_percent
1,fixed_10,10344.4295595662,0.03444295595662017,-0.009816428031113267,14,0.5714285714285714,4.5656559628344455,0.10000000000000002,0.1,0.1
1,fixed_15,10519.232597737173,0.05192325977371737,-0.014678111409660466,14,0.5714285714285714,4.565655962834447,0.14999999999999997,0.15,0.15
1,fixed_20,10695.767612981896,0.06957676129818946,-0.01950916415534687,14,0.5714285714285714,4.565655962834447,0.20000000000000004,0.2,0.2
1,confidence_5_15,10420.570593433567,0.042057059343356684,-0.006062981892730468,14,0.5714285714285714,4.565655962834446,0.08325857424327288,0.053951484144708545,0.13664136251145095
1,volatility_5_15,10433.362929342755,0.043336292934275544,-0.01465514921667066,14,0.5714285714285714,4.565655962834439,0.14496295619952618,0.10337168048735008,0.15
1,confidence_volatility_5_15,10425.787559357801,0.0425787559357802,-0.009511410479390303,14,0.5714285714285714,4.565655962834438,0.10794032702577419,0.08281477300923185,0.1419848175068706
1,confidence_volatility_drawdown_5_15,10425.787559357801,0.0425787559357802,-0.009511410479390303,14,0.5714285714285714,4.565655962834438,0.10794032702577419,0.08281477300923185,0.1419848175068706
2,fixed_10,10039.709733721924,0.003970973372192432,-0.01675240358924679,12,0.6666666666666666,1.217524016670655,0.10000000000000002,0.1,0.1
2,fixed_15,10058.908747850128,0.005890874785012823,-0.025057096992178063,12,0.6666666666666666,1.2175240166706562,0.14999999999999997,0.15,0.15
2,fixed_20,10077.666884365297,0.007766688436529723,-0.033314280183804446,12,0.6666666666666666,1.2175240166706542,0.20000000000000004,0.2,0.2
2,confidence_5_15,10004.827965480097,0.0004827965480096452,-0.017837195433955677,12,0.6666666666666666,1.217524016670659,0.08864284525806776,0.05386216350707682,0.1369393771937106
2,volatility_5_15,10048.883499215495,0.004888349921549517,-0.02504643300810927,12,0.6666666666666666,1.2175240166706593,0.14672819349382607,0.12545006001489484,0.15
2,confidence_volatility_5_15,10022.507104382405,0.002250710438240544,-0.019663781714589268,12,0.6666666666666666,1.2175240166706576,0.1118769845523711,0.09231729810424609,0.14216362631622637
2,confidence_volatility_drawdown_5_15,10016.472542276579,0.0016472542276577684,-0.019411474966575137,12,0.6666666666666666,1.217524016670657,0.10999598807704987,0.0911717317822156,0.14216362631622637
3,fixed_10,9877.766965701761,-0.012223303429823917,-0.02238403017999413,14,0.35714285714285715,0.5651179050586436,0.10000000000000002,0.1,0.1
3,fixed_15,9816.57964455186,-0.01834203554481395,-0.03342131499657108,14,0.35714285714285715,0.5651179050586463,0.14999999999999997,0.15,0.15
3,fixed_20,9755.351546479516,-0.024464845352048403,-0.04435648776752188,14,0.35714285714285715,0.5651179050586435,0.20000000000000004,0.2,0.2
3,confidence_5_15,9916.499525559113,-0.008350047444088737,-0.01576061524954797,14,0.35714285714285715,0.5651179050586459,0.07967903935581003,0.05670726704560574,0.1325076909273334
3,volatility_5_15,9816.57964455186,-0.01834203554481395,-0.03342131499657108,14,0.35714285714285715,0.5651179050586463,0.14999999999999997,0.15,0.15
3,confidence_volatility_5_15,9876.526268138676,-0.012347373186132438,-0.022856658205530178,14,0.35714285714285715,0.5651179050586441,0.10780742361348603,0.09402436022736343,0.1395046145564
3,confidence_volatility_drawdown_5_15,9875.665584231345,-0.012433441576865545,-0.02273882830396179,14,0.35714285714285715,0.5651179050586436,0.1062992025142583,0.08728571116464816,0.1395046145564
4,fixed_10,10151.404105504427,0.015140410550442684,-0.00968629495896367,14,0.5714285714285714,3.8421850657432275,0.10000000000000002,0.1,0.1
4,fixed_15,10227.642334077585,0.02276423340775846,-0.014508986919848144,14,0.5714285714285714,3.8421850657432453,0.14999999999999997,0.15,0.15
4,fixed_20,10304.238173850059,0.03042381738500599,-0.019318069181049835,14,0.5714285714285714,3.8421850657432466,0.20000000000000004,0.2,0.2
4,confidence_5_15,10105.96609958536,0.010596609958535952,-0.008419094518843595,14,0.5714285714285714,3.842185065743257,0.07077433110383621,0.0506980187942961,0.09898186433714176
4,volatility_5_15,10227.642334077585,0.02276423340775846,-0.014508986919848144,14,0.5714285714285714,3.8421850657432453,0.14999999999999997,0.15,0.15
4,confidence_volatility_5_15,10154.5364161104,0.015453641611040014,-0.010841252991649508,14,0.5714285714285714,3.842185065743255,0.10246459866230173,0.09041881127657765,0.11938911860228504
4,confidence_volatility_drawdown_5_15,10154.5364161104,0.015453641611040014,-0.010841252991649508,14,0.5714285714285714,3.842185065743255,0.10246459866230173,0.09041881127657765,0.11938911860228504
5,fixed_10,10314.367275351502,0.031436727535150144,-0.006324360744535573,12,0.75,11.507671879107763,0.10000000000000002,0.1,0.1
5,fixed_15,10474.502472562448,0.047450247256244804,-0.009461981079634807,12,0.75,11.507671879107718,0.14999999999999997,0.15,0.15
5,fixed_20,10636.630216137108,0.06366302161371085,-0.012583420178177485,12,0.75,11.50767187910779,0.20000000000000004,0.2,0.2
5,confidence_5_15,10173.6999621991,0.01736999621991009,-0.006245459102709461,12,0.75,11.507671879107821,0.07005519457067767,0.050457102007246804,0.11777117604936838
5,volatility_5_15,10474.502472562448,0.047450247256244804,-0.009461981079634807,12,0.75,11.507671879107718,0.14999999999999997,0.15,0.15
5,confidence_volatility_5_15,10293.175497188258,0.02931754971882583,-0.006927714906921456,12,0.75,11.50767187910778,0.1020331167424066,0.09027426120434807,0.130662705629621
5,confidence_volatility_drawdown_5_15,10293.175497188258,0.02931754971882583,-0.006927714906921456,12,0.75,11.50767187910778,0.1020331167424066,0.09027426120434807,0.130662705629621
6,fixed_10,10316.139046746192,0.03161390467461911,-0.015656579488890765,11,0.7272727272727273,3.171219760813992,0.1,0.1,0.1
6,fixed_15,10476.03217287157,0.047603217287156996,-0.023436522728319087,11,0.7272727272727273,3.171219760814005,0.14999999999999997,0.15,0.15
6,fixed_20,10637.122619716154,0.0637122619716155,-0.031184321185149688,11,0.7272727272727273,3.171219760813999,0.2,0.2,0.2
6,confidence_5_15,10208.742964079447,0.020874296407944692,-0.012504743397045992,11,0.7272727272727273,3.1712197608140054,0.07883526824705385,0.05374233327975151,0.13141898491649678
6,volatility_5_15,10401.817726826514,0.04018177268265144,-0.019977897558774993,11,0.7272727272727273,3.1712197608140107,0.12494243057405444,0.05969845441263097,0.15
6,confidence_volatility_5_15,10285.855952061083,0.02858559520610826,-0.015496717793998749,11,0.7272727272727273,3.1712197608139987,0.0972781331778541,0.058655745736214696,0.12146175730661204
6,confidence_volatility_drawdown_5_15,10285.966666817198,0.028596666681719674,-0.015486120810987214,11,0.7272727272727273,3.171219760814002,0.09629922324885067,0.058655745736214696,0.12146175730661204
