rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,train_return_percent,test_return_percent,test_drawdown_percent,test_profit_factor,test_win_rate,test_trade_count,robustness_ratio,score,status
1034,ARENA-1248,EMA200+RSI+MACD,1.0,7,20,Trend,4.0,10.0,2.2142,1.1471,0.8152,1.7851,37.5,16,0.5181,12.8424,REJECT
1035,ARENA-0315,MACD,1.2,10,30,Trend,4.0,10.0,1.1697,0.9961,1.1399,1.4688,37.5,16,0.8516,12.8072,REJECT
1036,ARENA-0884,EMA200+MACD,1.2,14,10,Conservative,2.0,6.0,1.4733,1.1065,0.8727,1.8501,42.8571,14,0.7511,12.7322,REJECT
1037,ARENA-0285,MACD,1.0,10,20,Trend,4.0,10.0,4.599,1.2455,1.3334,1.4366,38.0952,21,0.2708,12.7177,REJECT
1038,ARENA-1053,RSI+MACD,1.2,14,30,Trend,4.0,10.0,1.7736,1.5607,0.7282,2.5427,36.3636,11,0.88,12.6958,REJECT
1039,ARENA-1279,EMA200+RSI+MACD,1.2,10,10,Balanced,3.0,8.0,0.0431,0.7238,0.8247,1.6647,33.3333,12,16.7908,12.6623,REJECT
1040,ARENA-1281,EMA200+RSI+MACD,1.2,10,10,Trend,4.0,10.0,0.0431,0.7238,0.8247,1.6647,33.3333,12,16.7908,12.6623,REJECT
1041,ARENA-0314,MACD,1.2,10,30,Conservative,2.0,6.0,1.9956,1.1354,0.8727,1.671,37.5,16,0.5689,12.5603,REJECT
1042,ARENA-1191,EMA200+BXStyle,1.2,7,10,Trend,4.0,10.0,-0.1942,1.3896,1.1202,1.5924,42.8571,21,0.0,12.4904,REJECT
1043,ARENA-0811,EMA200+MACD,0.8,7,10,Balanced,3.0,8.0,6.1761,0.8141,1.2246,1.3091,36.0,25,0.1318,12.397,REJECT
1044,ARENA-0311,MACD,1.2,10,20,Conservative,2.0,6.0,2.191,1.1354,0.8727,1.671,37.5,16,0.5182,12.2897,REJECT
1045,ARENA-0965,EMA200+RelativeVolume,1.2,14,10,Conservative,2.0,6.0,-0.4026,1.4555,0.8289,1.6175,40.0,20,0.0,12.2671,REJECT
1046,ARENA-0967,EMA200+RelativeVolume,1.2,14,20,Balanced,3.0,8.0,-2.3053,1.7294,0.9781,1.5809,40.0,20,0.0,12.2628,REJECT
1047,ARENA-0970,EMA200+RelativeVolume,1.2,14,30,Balanced,3.0,8.0,-2.4247,1.7294,0.9781,1.5809,40.0,20,0.0,12.2628,REJECT
1048,ARENA-0956,EMA200+RelativeVolume,1.2,10,10,Conservative,2.0,6.0,-0.1565,1.357,0.8289,1.5551,38.0952,21,0.0,12.2594,REJECT
1049,ARENA-0244,MACD,0.8,7,10,Balanced,3.0,8.0,7.2941,0.8141,1.2246,1.3091,36.0,25,0.1116,12.2286,REJECT
1050,ARENA-0968,EMA200+RelativeVolume,1.2,14,20,Conservative,2.0,6.0,-0.8503,1.4434,0.8906,1.6126,40.0,20,0.0,12.1526,REJECT
1051,ARENA-0971,EMA200+RelativeVolume,1.2,14,30,Conservative,2.0,6.0,-0.8503,1.4434,0.8906,1.6126,40.0,20,0.0,12.1526,REJECT
1052,ARENA-0951,EMA200+RelativeVolume,1.2,7,20,Trend,4.0,10.0,-2.7053,1.7499,1.4495,1.632,33.3333,21,0.0,12.1469,REJECT
1053,ARENA-0299,MACD,1.2,7,10,Conservative,2.0,6.0,1.6618,1.135,0.8247,1.813,35.7143,14,0.683,12.0083,REJECT
1054,ARENA-0957,EMA200+RelativeVolume,1.2,10,10,Trend,4.0,10.0,-0.754,1.5572,1.1169,1.5212,38.0952,21,0.0,11.9971,REJECT
1055,ARENA-0966,EMA200+RelativeVolume,1.2,14,10,Trend,4.0,10.0,-1.9293,1.6559,1.1169,1.571,40.0,20,0.0,11.9503,REJECT
1056,ARENA-1008,RSI+MACD,1.0,7,30,Trend,4.0,10.0,3.3055,1.1471,0.8152,1.7851,37.5,16,0.347,11.9302,REJECT
1057,ARENA-0885,EMA200+MACD,1.2,14,10,Trend,4.0,10.0,0.8741,0.8023,0.9042,1.5053,42.8571,14,0.9179,11.9136,REJECT
1058,ARENA-0323,MACD,1.2,14,30,Conservative,2.0,6.0,2.6415,1.2337,0.8727,1.7696,40.0,15,0.4671,11.8838,REJECT
1059,ARENA-1230,EMA200+RSI+MACD,0.8,10,20,Trend,4.0,10.0,3.824,0.8581,1.0784,1.4407,33.3333,21,0.2244,11.8525,REJECT
1060,ARENA-1233,EMA200+RSI+MACD,0.8,10,30,Trend,4.0,10.0,3.824,0.8581,1.0784,1.4407,33.3333,21,0.2244,11.8525,REJECT
1061,ARENA-1292,EMA200+RSI+MACD,1.2,14,20,Conservative,2.0,6.0,1.3382,1.2558,0.7282,2.2478,36.3636,11,0.9384,11.8214,REJECT
1062,ARENA-1295,EMA200+RSI+MACD,1.2,14,30,Conservative,2.0,6.0,1.3382,1.2558,0.7282,2.2478,36.3636,11,0.9384,11.8214,REJECT
1063,ARENA-1275,EMA200+RSI+MACD,1.2,7,20,Trend,4.0,10.0,0.2955,0.8441,0.8247,1.7742,27.2727,11,2.8563,11.7942,REJECT
1064,ARENA-1005,RSI+MACD,1.0,7,20,Trend,4.0,10.0,3.7087,1.1471,0.8152,1.7851,37.5,16,0.3093,11.729,REJECT
1065,ARENA-1249,EMA200+RSI+MACD,1.0,7,30,Balanced,3.0,8.0,1.6071,0.8482,0.8152,1.586,37.5,16,0.5278,11.7255,REJECT
1066,ARENA-0320,MACD,1.2,14,20,Conservative,2.0,6.0,2.8381,1.2337,0.8727,1.7696,40.0,15,0.4347,11.7219,REJECT
1067,ARENA-1280,EMA200+RSI+MACD,1.2,10,10,Conservative,2.0,6.0,0.5776,0.7238,0.8247,1.6647,33.3333,12,1.2533,11.6753,REJECT
1068,ARENA-1260,EMA200+RSI+MACD,1.0,10,30,Trend,4.0,10.0,2.3352,1.1316,0.8152,1.7738,33.3333,15,0.4846,11.6031,REJECT
1069,ARENA-0813,EMA200+MACD,0.8,7,10,Trend,4.0,10.0,5.4851,0.6622,1.2246,1.2408,36.0,25,0.1207,11.596,REJECT
1070,ARENA-0958,EMA200+RelativeVolume,1.2,10,20,Balanced,3.0,8.0,-1.0207,1.3764,0.9781,1.4511,38.0952,21,0.0,11.5216,REJECT
1071,ARENA-0961,EMA200+RelativeVolume,1.2,10,30,Balanced,3.0,8.0,-1.1417,1.3764,0.9781,1.4511,38.0952,21,0.0,11.5216,REJECT
1072,ARENA-1246,EMA200+RSI+MACD,1.0,7,20,Balanced,3.0,8.0,1.7643,0.8482,0.8152,1.586,37.5,16,0.4808,11.4748,REJECT
1073,ARENA-0987,RSI+MACD,0.8,10,20,Trend,4.0,10.0,5.0816,0.8581,1.0784,1.4407,33.3333,21,0.1689,11.4638,REJECT
