rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,train_return_percent,test_return_percent,test_drawdown_percent,test_profit_factor,test_win_rate,test_trade_count,robustness_ratio,score,status
1151,ARENA-0546,LinearRegression,1.2,7,20,Trend,4.0,10.0,-1.8573,1.7196,1.0215,2.1612,23.0769,13,0.0,9.2078,REJECT
1152,ARENA-0549,LinearRegression,1.2,7,30,Trend,4.0,10.0,-2.2749,1.7196,1.0215,2.1612,23.0769,13,0.0,9.2078,REJECT
1153,ARENA-1033,RSI+MACD,1.2,7,30,Balanced,3.0,8.0,0.814,0.7287,0.8247,1.6705,27.2727,11,0.8952,9.1878,REJECT
1154,ARENA-1254,EMA200+RSI+MACD,1.0,10,10,Trend,4.0,10.0,1.4306,0.5601,0.7883,1.3925,33.3333,15,0.3915,9.0644,REJECT
1155,ARENA-1252,EMA200+RSI+MACD,1.0,10,10,Balanced,3.0,8.0,1.4935,0.5601,0.7883,1.3925,33.3333,15,0.375,8.982,REJECT
1156,ARENA-1002,RSI+MACD,1.0,7,10,Trend,4.0,10.0,2.7931,0.5755,0.7883,1.4039,37.5,16,0.206,8.9668,REJECT
1157,ARENA-0307,MACD,1.2,10,10,Balanced,3.0,8.0,0.9541,0.3991,0.9115,1.2085,37.5,16,0.4183,8.9625,REJECT
1158,ARENA-1000,RSI+MACD,1.0,7,10,Balanced,3.0,8.0,2.8568,0.5755,0.7883,1.4039,37.5,16,0.2014,8.9423,REJECT
1159,ARENA-1250,EMA200+RSI+MACD,1.0,7,30,Conservative,2.0,6.0,2.6725,0.5622,0.8025,1.3982,37.5,16,0.2104,8.9381,REJECT
1160,ARENA-1247,EMA200+RSI+MACD,1.0,7,20,Conservative,2.0,6.0,2.8312,0.5622,0.8025,1.3982,37.5,16,0.1986,8.8752,REJECT
1161,ARENA-1289,EMA200+RSI+MACD,1.2,14,10,Conservative,2.0,6.0,1.5621,0.8218,0.7282,1.8219,36.3636,11,0.5261,8.7419,REJECT
1162,ARENA-1001,RSI+MACD,1.0,7,10,Conservative,2.0,6.0,4.1356,0.5884,0.7756,1.4162,37.5,16,0.1423,8.7051,REJECT
1163,ARENA-1007,RSI+MACD,1.0,7,30,Conservative,2.0,6.0,4.4782,0.5622,0.8025,1.3982,37.5,16,0.1255,8.4857,REJECT
1164,ARENA-1004,RSI+MACD,1.0,7,20,Conservative,2.0,6.0,4.6397,0.5622,0.8025,1.3982,37.5,16,0.1212,8.4624,REJECT
1165,ARENA-1045,RSI+MACD,1.2,14,10,Balanced,3.0,8.0,1.8285,0.8218,0.7282,1.8219,36.3636,11,0.4494,8.4609,REJECT
1166,ARENA-1047,RSI+MACD,1.2,14,10,Trend,4.0,10.0,1.8285,0.8218,0.7282,1.8219,36.3636,11,0.4494,8.4609,REJECT
1167,ARENA-0304,MACD,1.2,7,30,Balanced,3.0,8.0,0.6422,0.3931,1.0216,1.2581,28.5714,14,0.6122,8.4196,REJECT
1168,ARENA-1253,EMA200+RSI+MACD,1.0,10,10,Conservative,2.0,6.0,2.4763,0.573,0.7756,1.4047,33.3333,15,0.2314,8.337,REJECT
1169,ARENA-0874,EMA200+MACD,1.2,10,10,Balanced,3.0,8.0,-0.0444,0.8564,0.8727,1.5585,40.0,15,0.0,8.3267,REJECT
1170,ARENA-0830,EMA200+MACD,0.8,14,10,Conservative,2.0,6.0,4.2555,0.0326,1.278,1.0246,34.6154,26,0.0077,8.2883,REJECT
1171,ARENA-0263,MACD,0.8,14,10,Conservative,2.0,6.0,5.4108,0.0326,1.278,1.0246,34.6154,26,0.006,8.2741,REJECT
1172,ARENA-1037,RSI+MACD,1.2,10,10,Conservative,2.0,6.0,1.8132,0.7238,0.8247,1.6647,33.3333,12,0.3992,8.2591,REJECT
1173,ARENA-1032,RSI+MACD,1.2,7,20,Trend,4.0,10.0,1.5823,0.8441,0.8247,1.7742,27.2727,11,0.5334,8.2501,REJECT
1174,ARENA-0825,EMA200+MACD,0.8,10,20,Trend,4.0,10.0,3.9336,0.1037,1.2428,1.0443,32.0,25,0.0264,8.2088,REJECT
1175,ARENA-0828,EMA200+MACD,0.8,10,30,Trend,4.0,10.0,3.9336,0.1037,1.2428,1.0443,32.0,25,0.0264,8.2088,REJECT
1176,ARENA-0860,EMA200+MACD,1.0,14,20,Conservative,2.0,6.0,3.2885,0.3106,1.1268,1.1496,35.0,20,0.0944,8.1937,REJECT
1177,ARENA-0863,EMA200+MACD,1.0,14,30,Conservative,2.0,6.0,3.2885,0.3106,1.1268,1.1496,35.0,20,0.0944,8.1937,REJECT
1178,ARENA-0258,MACD,0.8,10,20,Trend,4.0,10.0,4.9464,0.1037,1.2428,1.0443,32.0,25,0.021,8.1638,REJECT
1179,ARENA-0261,MACD,0.8,10,30,Trend,4.0,10.0,4.9464,0.1037,1.2428,1.0443,32.0,25,0.021,8.1638,REJECT
1180,ARENA-1227,EMA200+RSI+MACD,0.8,10,10,Trend,4.0,10.0,5.1437,0.2428,1.0493,1.1358,33.3333,21,0.0472,8.0786,REJECT
1181,ARENA-1011,RSI+MACD,1.0,10,10,Trend,4.0,10.0,2.8844,0.5601,0.7883,1.3925,33.3333,15,0.1942,8.0778,REJECT
1182,ARENA-1225,EMA200+RSI+MACD,0.8,10,10,Balanced,3.0,8.0,5.231,0.2428,1.0493,1.1358,33.3333,21,0.0464,8.0731,REJECT
1183,ARENA-1009,RSI+MACD,1.0,10,10,Balanced,3.0,8.0,2.9482,0.5601,0.7883,1.3925,33.3333,15,0.19,8.0568,REJECT
1184,ARENA-1030,RSI+MACD,1.2,7,20,Balanced,3.0,8.0,1.2448,0.7287,0.8247,1.6705,27.2727,11,0.5854,8.0517,REJECT
1185,ARENA-0316,MACD,1.2,14,10,Balanced,3.0,8.0,1.9965,0.4968,0.8727,1.2685,40.0,15,0.2488,8.0513,REJECT
1186,ARENA-1034,RSI+MACD,1.2,7,30,Conservative,2.0,6.0,2.1439,0.9022,0.8247,1.8246,27.2727,11,0.4208,8.0276,REJECT
1187,ARENA-0984,RSI+MACD,0.8,10,10,Trend,4.0,10.0,6.5,0.2428,1.0493,1.1358,33.3333,21,0.0373,8.0096,REJECT
1188,ARENA-0982,RSI+MACD,0.8,10,10,Balanced,3.0,8.0,6.5884,0.2428,1.0493,1.1358,33.3333,21,0.0368,8.0061,REJECT
1189,ARENA-1259,EMA200+RSI+MACD,1.0,10,30,Conservative,2.0,6.0,2.9744,0.5468,0.8025,1.3867,33.3333,15,0.1838,7.9771,REJECT
1190,ARENA-0266,MACD,0.8,14,20,Conservative,2.0,6.0,4.2261,-0.0316,1.278,1.0024,34.6154,26,-0.0075,7.9572,REJECT
1191,ARENA-0269,MACD,0.8,14,30,Conservative,2.0,6.0,4.2261,-0.0316,1.278,1.0024,34.6154,26,-0.0075,7.9572,REJECT
1192,ARENA-0833,EMA200+MACD,0.8,14,20,Conservative,2.0,6.0,3.164,-0.0316,1.278,1.0024,34.6154,26,-0.01,7.9572,REJECT
1193,ARENA-0836,EMA200+MACD,0.8,14,30,Conservative,2.0,6.0,3.164,-0.0316,1.278,1.0024,34.6154,26,-0.01,7.9572,REJECT
1194,ARENA-1256,EMA200+RSI+MACD,1.0,10,20,Conservative,2.0,6.0,3.1336,0.5468,0.8025,1.3867,33.3333,15,0.1745,7.9304,REJECT
1195,ARENA-1046,RSI+MACD,1.2,14,10,Conservative,2.0,6.0,2.7338,0.8218,0.7282,1.8219,36.3636,11,0.3006,7.9152,REJECT
1196,ARENA-1031,RSI+MACD,1.2,7,20,Conservative,2.0,6.0,2.3396,0.9022,0.8247,1.8246,27.2727,11,0.3856,7.8985,REJECT
1197,ARENA-1010,RSI+MACD,1.0,10,10,Conservative,2.0,6.0,4.25,0.573,0.7756,1.4047,33.3333,15,0.1348,7.8541,REJECT
1198,ARENA-0543,LinearRegression,1.2,7,10,Trend,4.0,10.0,-1.008,1.263,1.0215,1.8576,23.0769,13,0.0,7.7595,REJECT
1199,ARENA-1229,EMA200+RSI+MACD,0.8,10,20,Conservative,2.0,6.0,3.5457,0.1729,1.0656,1.097,33.3333,21,0.0488,7.7543,REJECT
1200,ARENA-1232,EMA200+RSI+MACD,0.8,10,30,Conservative,2.0,6.0,3.5457,0.1729,1.0656,1.097,33.3333,21,0.0488,7.7543,REJECT
1201,ARENA-0303,MACD,1.2,7,20,Trend,4.0,10.0,1.4092,0.5215,1.0216,1.3407,28.5714,14,0.37,7.7181,REJECT
1202,ARENA-0858,EMA200+MACD,1.0,14,10,Trend,4.0,10.0,0.6625,0.1025,1.1903,1.0498,35.0,20,0.1547,7.7116,REJECT
1203,ARENA-0986,RSI+MACD,0.8,10,20,Conservative,2.0,6.0,5.1074,0.1729,1.0656,1.097,33.3333,21,0.0338,7.65,REJECT
1204,ARENA-0989,RSI+MACD,0.8,10,30,Conservative,2.0,6.0,5.1074,0.1729,1.0656,1.097,33.3333,21,0.0338,7.65,REJECT
1205,ARENA-1016,RSI+MACD,1.0,10,30,Conservative,2.0,6.0,4.8477,0.5468,0.8025,1.3867,33.3333,15,0.1128,7.622,REJECT
1206,ARENA-1013,RSI+MACD,1.0,10,20,Conservative,2.0,6.0,5.0098,0.5468,0.8025,1.3867,33.3333,15,0.1091,7.6037,REJECT
1207,ARENA-1226,EMA200+RSI+MACD,0.8,10,10,Conservative,2.0,6.0,4.6413,0.1537,1.0366,1.0879,33.3333,21,0.0331,7.6024,REJECT
1208,ARENA-0309,MACD,1.2,10,10,Trend,4.0,10.0,0.9541,0.2612,1.0476,1.1317,37.5,16,0.2738,7.5894,REJECT
1209,ARENA-0983,RSI+MACD,0.8,10,10,Conservative,2.0,6.0,6.3021,0.1537,1.0366,1.0879,33.3333,21,0.0244,7.5413,REJECT
1210,ARENA-0876,EMA200+MACD,1.2,10,10,Trend,4.0,10.0,-0.0444,0.7044,1.0005,1.4214,40.0,15,0.0,7.5146,REJECT
1211,ARENA-0290,MACD,1.0,14,10,Conservative,2.0,6.0,5.0619,0.1791,1.1249,1.0815,33.3333,21,0.0354,7.5103,REJECT
1212,ARENA-0256,MACD,0.8,10,20,Balanced,3.0,8.0,5.0473,-0.0416,1.2428,0.9986,32.0,25,-0.0082,7.4422,REJECT
1213,ARENA-0259,MACD,0.8,10,30,Balanced,3.0,8.0,5.0473,-0.0416,1.2428,0.9986,32.0,25,-0.0082,7.4422,REJECT
1214,ARENA-0823,EMA200+MACD,0.8,10,20,Balanced,3.0,8.0,4.0336,-0.0416,1.2428,0.9986,32.0,25,-0.0103,7.4422,REJECT
1215,ARENA-0826,EMA200+MACD,0.8,10,30,Balanced,3.0,8.0,4.0336,-0.0416,1.2428,0.9986,32.0,25,-0.0103,7.4422,REJECT
1216,ARENA-0544,LinearRegression,1.2,7,20,Balanced,3.0,8.0,-1.8934,1.1458,1.0215,1.7939,23.0769,13,0.0,7.4371,REJECT
1217,ARENA-0547,LinearRegression,1.2,7,30,Balanced,3.0,8.0,-2.3109,1.1458,1.0215,1.7939,23.0769,13,0.0,7.4371,REJECT
1218,ARENA-1271,EMA200+RSI+MACD,1.2,7,10,Conservative,2.0,6.0,0.5255,0.3825,0.8247,1.3581,27.2727,11,0.7279,7.4043,REJECT
1219,ARENA-0262,MACD,0.8,14,10,Balanced,3.0,8.0,5.7237,-0.1861,1.2428,0.9513,34.6154,26,-0.0325,7.3883,REJECT
1220,ARENA-0829,EMA200+MACD,0.8,14,10,Balanced,3.0,8.0,4.8718,-0.1861,1.2428,0.9513,34.6154,26,-0.0382,7.3883,REJECT
1221,ARENA-0868,EMA200+MACD,1.2,7,20,Balanced,3.0,8.0,-0.1252,0.8503,1.0216,1.7569,30.7692,13,0.0,7.3863,REJECT
1222,ARENA-0871,EMA200+MACD,1.2,7,30,Balanced,3.0,8.0,-0.1252,0.8503,1.0216,1.7569,30.7692,13,0.0,7.3863,REJECT
1223,ARENA-0301,MACD,1.2,7,20,Balanced,3.0,8.0,1.0723,0.3931,1.0216,1.2581,28.5714,14,0.3666,7.2738,REJECT
1224,ARENA-0318,MACD,1.2,14,10,Trend,4.0,10.0,1.9965,0.3587,0.9514,1.1841,40.0,15,0.1797,7.1609,REJECT
1225,ARENA-0265,MACD,0.8,14,20,Balanced,3.0,8.0,4.3293,-0.2502,1.2428,0.9301,34.6154,26,-0.0578,7.1305,REJECT
1226,ARENA-0268,MACD,0.8,14,30,Balanced,3.0,8.0,4.3293,-0.2502,1.2428,0.9301,34.6154,26,-0.0578,7.1305,REJECT
1227,ARENA-0832,EMA200+MACD,0.8,14,20,Balanced,3.0,8.0,3.5691,-0.2502,1.2428,0.9301,34.6154,26,-0.0701,7.1305,REJECT
1228,ARENA-0835,EMA200+MACD,0.8,14,30,Balanced,3.0,8.0,3.5691,-0.2502,1.2428,0.9301,34.6154,26,-0.0701,7.1305,REJECT
1229,ARENA-1109,BXStyle+LinearRegression,1.2,7,10,Conservative,2.0,6.0,-0.2526,1.1708,0.7062,2.395,33.3333,9,0.0,7.0798,REJECT
1230,ARENA-1112,BXStyle+LinearRegression,1.2,7,20,Conservative,2.0,6.0,-0.4565,1.1708,0.7062,2.395,33.3333,9,0.0,7.0798,REJECT
1231,ARENA-1115,BXStyle+LinearRegression,1.2,7,30,Conservative,2.0,6.0,-0.6469,1.1708,0.7062,2.395,33.3333,9,0.0,7.0798,REJECT
1232,ARENA-0541,LinearRegression,1.2,7,10,Balanced,3.0,8.0,-1.0444,0.9902,1.0215,1.6882,23.0769,13,0.0,6.936,REJECT
1233,ARENA-0264,MACD,0.8,14,10,Trend,4.0,10.0,5.636,-0.3365,1.2428,0.9063,34.6154,26,-0.0597,6.8157,REJECT
1234,ARENA-0831,EMA200+MACD,0.8,14,10,Trend,4.0,10.0,4.7848,-0.3365,1.2428,0.9063,34.6154,26,-0.0703,6.8157,REJECT
1235,ARENA-0257,MACD,0.8,10,20,Conservative,2.0,6.0,4.9721,-0.2104,1.278,0.9403,32.0,25,-0.0423,6.7207,REJECT
1236,ARENA-0260,MACD,0.8,10,30,Conservative,2.0,6.0,4.9721,-0.2104,1.278,0.9403,32.0,25,-0.0423,6.7207,REJECT
1237,ARENA-0824,EMA200+MACD,0.8,10,20,Conservative,2.0,6.0,3.6551,-0.2104,1.278,0.9403,32.0,25,-0.0576,6.7207,REJECT
1238,ARENA-0827,EMA200+MACD,0.8,10,30,Conservative,2.0,6.0,3.6551,-0.2104,1.278,0.9403,32.0,25,-0.0576,6.7207,REJECT
1239,ARENA-0293,MACD,1.0,14,20,Conservative,2.0,6.0,5.9418,0.0063,1.1268,1.0146,33.3333,21,0.0011,6.651,REJECT
1240,ARENA-0296,MACD,1.0,14,30,Conservative,2.0,6.0,5.9418,0.0063,1.1268,1.0146,33.3333,21,0.0011,6.651,REJECT
1241,ARENA-0254,MACD,0.8,10,10,Conservative,2.0,6.0,6.1653,-0.2295,1.278,0.9337,32.0,25,-0.0372,6.645,REJECT
1242,ARENA-0821,EMA200+MACD,0.8,10,10,Conservative,2.0,6.0,4.7518,-0.2295,1.278,0.9337,32.0,25,-0.0483,6.645,REJECT
1243,ARENA-0267,MACD,0.8,14,20,Trend,4.0,10.0,4.2291,-0.4005,1.2428,0.8862,34.6154,26,-0.0947,6.565,REJECT
1244,ARENA-0270,MACD,0.8,14,30,Trend,4.0,10.0,4.2291,-0.4005,1.2428,0.8862,34.6154,26,-0.0947,6.565,REJECT
1245,ARENA-0834,EMA200+MACD,0.8,14,20,Trend,4.0,10.0,3.4696,-0.4005,1.2428,0.8862,34.6154,26,-0.1154,6.565,REJECT
1246,ARENA-0837,EMA200+MACD,0.8,14,30,Trend,4.0,10.0,3.4696,-0.4005,1.2428,0.8862,34.6154,26,-0.1154,6.565,REJECT
1247,ARENA-1027,RSI+MACD,1.2,7,10,Balanced,3.0,8.0,0.7719,0.3825,0.8247,1.3581,27.2727,11,0.4955,6.5522,REJECT
1248,ARENA-1029,RSI+MACD,1.2,7,10,Trend,4.0,10.0,0.809,0.3825,0.8247,1.3581,27.2727,11,0.4728,6.4689,REJECT
1249,ARENA-0292,MACD,1.0,14,20,Balanced,3.0,8.0,3.6399,-0.0769,1.1977,0.9846,33.3333,21,-0.0211,6.2723,REJECT
1250,ARENA-0295,MACD,1.0,14,30,Balanced,3.0,8.0,3.3967,-0.0769,1.1977,0.9846,33.3333,21,-0.0226,6.2723,REJECT
1251,ARENA-0253,MACD,0.8,10,10,Balanced,3.0,8.0,6.4513,-0.3569,1.2428,0.8944,32.0,25,-0.0553,6.2222,REJECT
1252,ARENA-0820,EMA200+MACD,0.8,10,10,Balanced,3.0,8.0,5.3421,-0.3569,1.2428,0.8944,32.0,25,-0.0668,6.2222,REJECT
1253,ARENA-0861,EMA200+MACD,1.0,14,20,Trend,4.0,10.0,1.6746,-0.0845,1.2048,0.9794,35.0,20,-0.0505,6.0385,REJECT
1254,ARENA-0864,EMA200+MACD,1.0,14,30,Trend,4.0,10.0,1.6746,-0.0845,1.2048,0.9794,35.0,20,-0.0505,6.0385,REJECT
1255,ARENA-0865,EMA200+MACD,1.2,7,10,Balanced,3.0,8.0,-0.2465,0.5037,1.0216,1.4542,30.7692,13,0.0,6.0365,REJECT
1256,ARENA-0867,EMA200+MACD,1.2,7,10,Trend,4.0,10.0,-0.2098,0.5037,1.0216,1.4542,30.7692,13,0.0,6.0365,REJECT
1257,ARENA-1273,EMA200+RSI+MACD,1.2,7,20,Balanced,3.0,8.0,-0.0377,0.7287,0.8247,1.6705,27.2727,11,0.0,5.9052,REJECT
1258,ARENA-1276,EMA200+RSI+MACD,1.2,7,30,Balanced,3.0,8.0,-0.0377,0.7287,0.8247,1.6705,27.2727,11,0.0,5.9052,REJECT
1259,ARENA-0289,MACD,1.0,14,10,Balanced,3.0,8.0,2.7645,-0.201,1.1977,0.9427,33.3333,21,-0.0727,5.864,REJECT
1260,ARENA-0255,MACD,0.8,10,10,Trend,4.0,10.0,6.363,-0.5071,1.2428,0.8522,32.0,25,-0.0797,5.6904,REJECT
1261,ARENA-0822,EMA200+MACD,0.8,10,10,Trend,4.0,10.0,5.2547,-0.5071,1.2428,0.8522,32.0,25,-0.0965,5.6904,REJECT
1262,ARENA-1278,EMA200+RSI+MACD,1.2,7,30,Trend,4.0,10.0,0.2955,0.1372,0.8247,1.1383,27.2727,11,0.4643,5.6129,REJECT
1263,ARENA-1028,RSI+MACD,1.2,7,10,Conservative,2.0,6.0,1.7605,0.3825,0.8247,1.3581,27.2727,11,0.2173,5.5319,REJECT
1264,ARENA-1113,BXStyle+LinearRegression,1.2,7,20,Trend,4.0,10.0,-1.1761,0.8302,1.0215,1.9536,22.2222,9,0.0,5.3172,REJECT
1265,ARENA-1116,BXStyle+LinearRegression,1.2,7,30,Trend,4.0,10.0,-1.5966,0.8302,1.0215,1.9536,22.2222,9,0.0,5.3172,REJECT
1266,ARENA-0291,MACD,1.0,14,10,Trend,4.0,10.0,2.6475,-0.3381,1.3334,0.901,33.3333,21,-0.1277,5.2721,REJECT
1267,ARENA-0300,MACD,1.2,7,10,Trend,4.0,10.0,0.7625,0.0614,1.0686,1.0518,28.5714,14,0.0805,4.8201,REJECT
1268,ARENA-1270,EMA200+RSI+MACD,1.2,7,10,Balanced,3.0,8.0,-0.1591,0.3825,0.8247,1.3581,27.2727,11,0.0,4.7352,REJECT
1269,ARENA-1272,EMA200+RSI+MACD,1.2,7,10,Trend,4.0,10.0,-0.1224,0.3825,0.8247,1.3581,27.2727,11,0.0,4.7352,REJECT
1270,ARENA-0298,MACD,1.2,7,10,Balanced,3.0,8.0,0.7255,0.0481,1.0818,1.043,28.5714,14,0.0662,4.6978,REJECT
1271,ARENA-0294,MACD,1.0,14,20,Trend,4.0,10.0,3.8287,-0.5243,1.3334,0.8407,33.3333,21,-0.1369,4.6736,REJECT
1272,ARENA-0297,MACD,1.0,14,30,Trend,4.0,10.0,3.585,-0.5243,1.3334,0.8407,33.3333,21,-0.1462,4.6736,REJECT
1273,ARENA-1035,RSI+MACD,1.2,7,30,Trend,4.0,10.0,1.1501,0.1372,0.8247,1.1383,27.2727,11,0.1193,4.3478,REJECT
1274,ARENA-1111,BXStyle+LinearRegression,1.2,7,20,Balanced,3.0,8.0,-1.2124,0.5322,1.0215,1.6168,22.2222,9,0.0,4.33,REJECT
1275,ARENA-1114,BXStyle+LinearRegression,1.2,7,30,Balanced,3.0,8.0,-1.6328,0.5322,1.0215,1.6168,22.2222,9,0.0,4.33,REJECT
1276,ARENA-1108,BXStyle+LinearRegression,1.2,7,10,Balanced,3.0,8.0,-0.7518,0.3776,1.0215,1.442,22.2222,9,0.0,3.8178,REJECT
1277,ARENA-1110,BXStyle+LinearRegression,1.2,7,10,Trend,4.0,10.0,-0.7153,0.3776,1.0215,1.442,22.2222,9,0.0,3.8178,REJECT
1278,ARENA-0306,MACD,1.2,7,30,Trend,4.0,10.0,0.9777,-0.1831,1.1399,0.898,28.5714,14,-0.1873,3.5839,REJECT
1279,ARENA-1019,RSI+MACD,1.0,14,10,Conservative,2.0,6.0,4.555,-0.3275,0.848,0.8177,26.6667,15,-0.0719,3.5347,REJECT
1280,ARENA-1262,EMA200+RSI+MACD,1.0,14,10,Conservative,2.0,6.0,2.7125,-0.3275,0.848,0.8177,26.6667,15,-0.1207,3.5347,REJECT
1281,ARENA-1018,RSI+MACD,1.0,14,10,Balanced,3.0,8.0,2.2687,-0.3403,0.8608,0.8115,26.6667,15,-0.15,3.4859,REJECT
1282,ARENA-1020,RSI+MACD,1.0,14,10,Trend,4.0,10.0,2.1522,-0.3403,0.8608,0.8115,26.6667,15,-0.1581,3.4859,REJECT
1283,ARENA-1261,EMA200+RSI+MACD,1.0,14,10,Balanced,3.0,8.0,0.7613,-0.3403,0.8608,0.8115,26.6667,15,-0.447,3.4859,REJECT
1284,ARENA-1263,EMA200+RSI+MACD,1.0,14,10,Trend,4.0,10.0,0.6465,-0.3403,0.8608,0.8115,26.6667,15,-0.5264,3.4859,REJECT
1285,ARENA-1022,RSI+MACD,1.0,14,20,Conservative,2.0,6.0,5.2158,-0.5587,0.8749,0.6793,26.6667,15,-0.1071,2.7262,REJECT
1286,ARENA-1025,RSI+MACD,1.0,14,30,Conservative,2.0,6.0,5.2158,-0.5587,0.8749,0.6793,26.6667,15,-0.1071,2.7262,REJECT
1287,ARENA-1265,EMA200+RSI+MACD,1.0,14,20,Conservative,2.0,6.0,3.272,-0.5587,0.8749,0.6793,26.6667,15,-0.1708,2.7262,REJECT
1288,ARENA-1268,EMA200+RSI+MACD,1.0,14,30,Conservative,2.0,6.0,3.272,-0.5587,0.8749,0.6793,26.6667,15,-0.1708,2.7262,REJECT
1289,ARENA-1021,RSI+MACD,1.0,14,20,Balanced,3.0,8.0,3.0821,-0.5715,0.8877,0.6741,26.6667,15,-0.1854,2.6816,REJECT
1290,ARENA-1023,RSI+MACD,1.0,14,20,Trend,4.0,10.0,3.2698,-0.5715,0.8877,0.6741,26.6667,15,-0.1748,2.6816,REJECT
1291,ARENA-1024,RSI+MACD,1.0,14,30,Balanced,3.0,8.0,2.8401,-0.5715,0.8877,0.6741,26.6667,15,-0.2012,2.6816,REJECT
1292,ARENA-1026,RSI+MACD,1.0,14,30,Trend,4.0,10.0,3.0274,-0.5715,0.8877,0.6741,26.6667,15,-0.1888,2.6816,REJECT
1293,ARENA-1264,EMA200+RSI+MACD,1.0,14,20,Balanced,3.0,8.0,1.4736,-0.5715,0.8877,0.6741,26.6667,15,-0.3879,2.6816,REJECT
1294,ARENA-1266,EMA200+RSI+MACD,1.0,14,20,Trend,4.0,10.0,1.6584,-0.5715,0.8877,0.6741,26.6667,15,-0.3446,2.6816,REJECT
1295,ARENA-1267,EMA200+RSI+MACD,1.0,14,30,Balanced,3.0,8.0,1.4736,-0.5715,0.8877,0.6741,26.6667,15,-0.3879,2.6816,REJECT
1296,ARENA-1269,EMA200+RSI+MACD,1.0,14,30,Trend,4.0,10.0,1.6584,-0.5715,0.8877,0.6741,26.6667,15,-0.3446,2.6816,REJECT
